,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
2,18,8,42,11,47,18,34,12,44,16,23,23,23,22,21,24,42,48,0.0,2
33,45,13,7,8,43,15,33,10,39,13,22,19,23,22,23,24,42,38,0.0,2
38,51,9,22,6,39,14,18,8,19,9,14,18,14,20,14,14,39,29,0.0,2
45,36,9,12,8,32,18,32,8,32,12,17,17,19,21,17,13,38,31,0.0,2
51,12,0,15,4,5,6,17,5,32,6,19,18,17,21,17,20,39,42,0.0,2
61,18,1,32,14,32,16,20,7,32,8,23,21,20,20,21,19,41,44,0.0,2
96,32,8,32,8,32,10,33,11,32,7,14,22,18,21,18,22,43,47,5.04,2
99,13,8,8,15,34,15,13,12,20,11,22,23,19,22,22,22,45,47,0.0,2
104,24,8,21,9,32,8,32,9,14,9,15,12,19,20,21,22,43,45,4.96,2
106,35,10,18,9,38,9,32,10,32,9,14,14,19,20,23,23,44,42,0.0,2
107,23,7,32,8,37,8,20,13,32,13,13,20,20,21,22,23,44,42,0.0,2
108,32,12,36,13,32,12,32,13,35,12,20,21,21,20,22,23,46,45,5.62,2
109,45,12,23,8,32,10,34,10,33,11,14,16,19,21,20,22,43,45,0.0,2
110,32,7,11,15,32,11,6,9,26,10,23,17,18,20,22,22,47,47,0.0,2
111,20,10,32,9,38,13,32,9,32,8,16,21,21,20,20,23,45,48,0.0,2
113,22,9,32,8,36,14,39,10,34,10,12,22,20,22,23,21,44,46,0.0,2
119,32,13,32,10,36,12,38,9,32,15,17,14,20,17,19,19,35,37,5.42,2
121,15,4,32,12,37,13,21,9,37,13,12,12,15,16,14,0,34,36,0.0,2
162,22,11,43,12,37,15,59,12,32,15,17,19,20,20,21,17,37,33,0.0,2
164,32,11,44,7,44,12,13,10,13,7,11,13,19,0,16,0,31,29,0.0,2
169,22,7,32,11,48,8,33,10,40,15,16,16,18,19,21,18,36,31,0.0,2
171,2,8,13,8,40,12,32,8,25,10,14,13,17,17,18,14,44,35,0.0,2
178,20,10,35,10,32,15,56,11,23,13,21,21,20,19,22,21,47,44,0.0,2
183,32,10,32,10,51,10,38,9,22,10,11,12,16,16,12,12,25,32,0.0,2
189,32,10,35,10,35,16,16,4,32,12,20,19,15,16,19,23,45,34,0.0,2
206,19,12,22,12,39,11,32,11,36,14,17,13,20,20,21,21,45,45,0.0,2
207,14,7,32,10,32,11,33,10,34,4,16,14,18,20,14,17,26,32,0.0,2
208,6,3,17,10,23,9,32,5,55,10,13,12,15,0,14,13,25,44,0.0,2
209,22,10,32,14,22,11,53,17,17,12,18,17,24,21,21,16,35,42,0.0,2
212,13,8,16,6,32,9,19,10,16,10,11,12,20,19,13,12,33,33,0.0,2
213,11,10,10,10,32,10,32,9,32,13,15,14,18,17,14,16,29,40,0.0,2
214,37,16,33,11,34,15,32,12,22,13,19,13,21,17,16,19,46,36,0.0,2
216,13,8,15,10,23,9,43,11,14,13,19,20,20,20,17,15,36,34,0.0,2
217,13,6,17,6,9,12,33,11,23,14,19,20,20,20,18,17,41,42,0.0,2
218,18,8,41,10,33,13,37,14,37,14,18,13,23,22,21,16,39,38,0.0,2
220,17,12,21,12,32,15,42,13,18,15,21,14,22,20,20,20,44,37,0.0,2
222,13,10,19,12,43,16,22,11,22,14,19,14,20,19,19,21,36,44,0.0,2
223,18,8,35,12,39,12,51,13,44,16,18,13,22,20,16,21,40,37,0.0,2
226,32,8,32,15,34,15,34,12,27,11,22,23,19,22,22,22,45,47,0.0,2
227,20,13,32,8,37,8,42,13,32,13,13,20,20,21,22,23,44,42,0.0,2
228,32,15,32,15,32,11,20,9,17,10,23,17,18,20,22,22,47,47,0.0,2
229,32,10,32,9,38,13,32,9,32,8,16,21,21,20,20,23,45,48,5.38,2
230,32,9,32,8,36,14,39,10,34,10,12,22,20,22,23,21,44,46,5.5,2
237,32,12,32,9,44,9,20,8,32,8,18,18,18,17,22,14,40,40,0.0,2
256,49,14,22,8,39,10,22,8,32,11,22,18,20,18,23,17,35,42,0.0,2
282,18,1,32,5,22,8,19,9,19,8,17,18,15,17,19,11,42,40,0.0,2
283,32,7,6,3,14,5,32,9,23,8,18,17,14,17,20,13,35,34,0.0,2
308,18,9,17,5,42,9,19,3,32,8,23,18,21,17,20,15,43,42,0.0,2
324,40,11,20,8,34,8,40,5,33,14,24,20,20,18,20,17,48,48,0.0,2
326,17,8,20,7,19,9,32,8,32,9,23,19,21,17,19,14,37,39,0.0,2
329,32,6,33,11,62,10,12,8,39,11,22,19,16,16,18,19,37,43,0.0,2
330,15,5,32,4,49,10,34,10,32,12,22,18,21,19,20,17,44,43,0.0,2
331,20,5,37,10,53,12,21,8,41,15,22,17,20,18,20,18,48,47,0.0,2
