,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
13,64,9,52,12,35,15,42,13,53,10,22,22,20,22,22,21,38,37,7.38,13
20,54,11,35,14,38,17,32,12,44,12,20,22,22,21,22,24,42,47,6.5,13
21,48,10,40,15,38,16,45,13,47,17,23,23,23,22,24,23,44,45,6.92,13
23,64,13,47,17,40,16,41,14,43,14,23,21,21,23,22,22,44,46,7.5,13
26,62,13,35,11,38,13,47,15,52,14,18,19,20,21,24,21,38,42,7.42,13
31,41,9,34,13,27,14,43,13,57,18,22,23,23,22,24,19,45,38,6.77,13
36,69,12,32,11,43,19,43,14,55,17,23,23,23,23,24,23,45,44,7.69,13
41,50,9,39,11,45,17,40,14,55,18,22,23,22,21,22,22,44,45,7.23,13
42,59,13,40,9,55,15,46,14,54,15,17,21,19,21,16,22,40,45,7.54,13
43,44,9,42,15,59,19,39,15,55,19,21,21,20,22,23,22,47,44,7.54,13
44,59,9,39,12,34,16,42,11,44,12,23,22,21,22,21,22,40,43,6.96,13
47,66,12,40,12,48,14,33,13,52,11,20,20,19,19,20,21,42,45,7.46,13
54,46,9,38,8,37,14,32,12,46,11,20,19,18,20,18,18,38,46,6.15,13
56,55,9,45,10,41,11,45,11,46,10,17,20,15,21,14,15,37,37,6.5,13
64,56,11,46,11,41,13,33,9,63,15,20,23,18,20,22,20,46,41,7.08,13
68,63,14,38,13,48,15,44,12,42,14,22,21,21,22,22,22,44,48,7.5,13
69,41,10,32,16,27,18,34,12,48,16,24,24,20,21,23,22,45,47,6.46,13
78,53,11,24,9,47,14,33,9,46,15,16,17,20,19,20,23,40,47,6.5,13
83,50,9,32,17,57,17,45,13,50,14,24,24,22,22,24,21,45,47,7.08,13
89,51,9,36,11,44,16,36,11,51,13,20,23,20,22,22,21,42,46,6.96,13
95,55,12,47,14,48,15,48,17,61,15,24,23,20,23,22,24,45,48,7.88,13
98,54,15,32,12,42,14,41,15,41,17,21,23,21,20,23,22,47,45,6.65,13
101,49,10,44,15,40,19,44,12,39,13,22,21,19,22,22,20,45,46,6.77,13
103,58,16,37,11,27,14,33,16,58,17,18,20,22,20,23,24,46,44,7.27,13
112,46,9,45,16,46,20,32,15,50,14,23,23,20,20,23,21,46,44,7.08,13
187,46,14,34,9,58,18,32,11,49,17,22,22,20,18,24,24,46,47,6.92,13
202,57,12,43,11,56,17,32,11,53,15,18,20,20,19,21,19,45,45,7.04,13
215,53,15,46,14,40,17,45,12,46,17,19,20,21,20,17,20,43,44,7.15,13
269,56,14,46,15,37,15,37,13,49,12,24,21,21,19,24,18,46,38,7.46,13
328,50,11,45,8,44,15,40,9,48,15,23,19,20,16,20,20,48,48,6.38,13
