,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
3,38,12,52,12,40,18,54,13,60,18,23,22,21,22,24,24,45,46,7.54,6
5,55,13,51,16,57,19,59,16,61,17,21,20,22,22,23,20,44,46,8.5,6
18,55,9,53,17,65,20,53,12,59,20,20,22,19,21,22,24,40,45,8.5,6
66,44,17,57,14,69,20,61,18,48,18,22,20,22,22,21,23,46,38,9.08,6
79,48,14,49,13,49,17,43,15,68,17,20,20,20,22,21,16,41,33,7.96,6
116,35,12,56,13,62,16,65,13,60,16,20,21,20,21,22,22,45,40,8.12,6
120,56,15,55,17,71,19,53,13,51,20,19,19,20,22,24,22,41,40,8.5,6
148,37,12,49,16,61,14,51,11,40,15,20,21,20,20,23,19,48,42,7.35,6
151,59,19,32,15,60,18,65,11,51,16,22,21,19,19,23,21,45,41,8.23,6
158,35,18,55,13,70,16,62,13,43,17,19,20,20,20,24,21,47,40,8.12,6
163,43,13,56,13,65,16,51,13,49,18,18,22,20,21,22,22,42,38,7.85,6
165,44,12,72,16,72,16,59,12,55,19,19,21,20,20,24,24,46,42,8.62,6
168,32,11,66,11,60,11,57,11,55,15,19,19,19,19,21,21,41,42,7.54,6
175,49,14,55,8,73,14,48,14,55,16,20,21,21,22,23,18,47,43,8.19,6
181,52,20,52,14,58,18,54,13,55,17,24,22,21,21,22,22,46,47,8.23,6
184,50,17,41,11,72,17,56,12,55,13,20,20,20,19,22,23,44,44,7.85,6
190,44,13,35,15,50,19,59,15,58,18,19,22,23,23,19,20,45,44,7.65,6
198,34,10,50,8,59,18,46,10,57,15,19,21,19,19,24,23,44,42,7.12,6
210,48,15,50,9,55,15,47,12,63,14,18,16,20,20,20,19,40,45,7.58,6
243,43,13,56,14,50,12,39,14,61,17,22,22,23,20,24,24,47,48,7.69,6
257,48,16,61,14,71,18,59,11,46,16,21,20,18,19,23,17,37,44,8.42,6
271,49,18,63,14,68,18,53,13,48,17,24,22,23,22,24,18,48,48,8.35,6
281,55,16,58,13,50,16,61,9,64,16,17,20,16,16,24,15,42,46,8.31,6
293,54,12,56,9,47,17,55,13,58,13,23,21,21,17,23,13,41,46,7.62,6
304,45,16,59,11,49,18,60,16,55,15,24,20,24,20,24,19,44,42,8.19,6
312,38,15,57,14,59,20,55,15,58,17,24,23,22,20,24,19,46,48,8.31,6
320,53,19,51,15,59,18,62,17,56,16,23,21,20,19,23,24,42,46,8.5,6
325,45,14,61,13,63,15,53,12,53,15,20,19,20,16,21,21,42,48,7.73,6
