,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
16,37,12,38,10,51,16,32,12,32,11,22,23,22,21,24,24,42,42,5.96,1
86,46,11,40,10,48,12,33,14,43,12,19,22,20,21,20,20,36,36,6.62,1
118,42,11,32,9,53,15,44,9,35,12,15,17,15,16,19,17,32,30,5.92,1
139,33,4,51,10,43,11,42,8,17,14,21,16,15,16,22,22,42,40,0.0,1
149,41,16,39,12,40,12,32,8,34,14,23,20,15,16,24,22,43,41,6.19,1
156,26,9,47,8,44,8,36,8,43,12,16,20,15,16,23,22,38,35,5.73,1
157,32,12,45,8,54,10,32,8,34,11,17,19,15,17,21,22,34,39,5.73,1
161,44,9,53,4,33,8,25,8,27,9,14,14,15,15,16,0,33,30,0.0,1
164,32,11,44,7,44,12,13,10,13,7,11,13,19,0,16,0,31,29,0.0,1
166,33,10,47,9,56,15,39,12,40,11,18,20,19,20,22,18,41,40,6.62,1
183,32,10,32,10,51,10,38,9,22,10,11,12,16,16,12,12,25,32,0.0,1
197,52,4,44,6,48,11,33,6,44,13,15,20,15,17,15,16,31,36,5.92,1
231,32,8,39,8,53,10,25,8,40,10,18,18,18,16,18,18,44,46,5.81,1
244,40,9,36,9,56,13,32,8,40,9,20,20,18,19,22,20,40,44,6.04,1
274,36,15,43,12,50,13,32,9,32,7,16,18,18,18,18,10,39,34,5.81,1
309,46,15,33,10,61,15,50,11,32,10,24,20,24,17,19,10,43,38,6.81,1
313,39,12,32,9,68,19,39,14,32,14,23,18,22,16,24,24,45,47,6.88,1
327,32,9,48,9,43,11,40,11,32,9,20,18,20,17,18,16,38,43,5.85,1
329,32,6,33,11,62,10,12,8,39,11,22,19,16,16,18,19,37,43,0.0,1
332,32,8,42,9,60,14,45,12,35,11,22,17,21,16,20,16,41,45,6.35,1
