,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
2,18,8,42,11,47,18,34,12,44,16,23,23,23,22,21,24,42,48,0.0,7
25,34,10,42,13,37,18,32,13,42,12,23,21,23,23,23,23,43,46,6.23,7
57,32,8,45,15,36,14,33,15,32,11,21,24,22,22,23,17,47,45,6.08,7
61,18,1,32,14,32,16,20,7,32,8,23,21,20,20,21,19,41,44,0.0,7
80,35,9,35,11,41,15,34,9,41,9,21,16,21,21,21,22,39,44,5.85,7
96,32,8,32,8,32,10,33,11,32,7,14,22,18,21,18,22,43,47,5.04,7
105,26,8,38,13,46,15,33,9,41,18,22,21,20,22,23,24,47,45,6.23,7
107,23,7,32,8,37,8,20,13,32,13,13,20,20,21,22,23,44,42,0.0,7
108,32,12,36,13,32,12,32,13,35,12,20,21,21,20,22,23,46,45,5.62,7
111,20,10,32,9,38,13,32,9,32,8,16,21,21,20,20,23,45,48,0.0,7
113,22,9,32,8,36,14,39,10,34,10,12,22,20,22,23,21,44,46,0.0,7
119,32,13,32,10,36,12,38,9,32,15,17,14,20,17,19,19,35,37,5.42,7
169,22,7,32,11,48,8,33,10,40,15,16,16,18,19,21,18,36,31,0.0,7
189,32,10,35,10,35,16,16,4,32,12,20,19,15,16,19,23,45,34,0.0,7
206,19,12,22,12,39,11,32,11,36,14,17,13,20,20,21,21,45,45,0.0,7
218,18,8,41,10,33,13,37,14,37,14,18,13,23,22,21,16,39,38,0.0,7
226,32,8,32,15,34,15,34,12,27,11,22,23,19,22,22,22,45,47,0.0,7
227,20,13,32,8,37,8,42,13,32,13,13,20,20,21,22,23,44,42,0.0,7
228,32,15,32,15,32,11,20,9,17,10,23,17,18,20,22,22,47,47,0.0,7
229,32,10,32,9,38,13,32,9,32,8,16,21,21,20,20,23,45,48,5.38,7
230,32,9,32,8,36,14,39,10,34,10,12,22,20,22,23,21,44,46,5.5,7
237,32,12,32,9,44,9,20,8,32,8,18,18,18,17,22,14,40,40,0.0,7
330,15,5,32,4,49,10,34,10,32,12,22,18,21,19,20,17,44,43,0.0,7
331,20,5,37,10,53,12,21,8,41,15,22,17,20,18,20,18,48,47,0.0,7
334,21,8,32,12,37,13,32,9,39,13,12,12,15,16,14,17,34,36,0.0,7
336,21,8,33,8,40,12,32,8,12,10,14,13,17,17,18,14,44,35,0.0,7
338,32,12,32,12,39,11,32,11,36,14,17,13,20,20,21,21,45,45,5.65,7
339,32,12,32,10,32,11,33,10,34,10,16,14,18,20,14,17,26,32,4.58,7
342,34,10,32,10,32,10,32,9,32,13,15,14,18,17,14,16,29,40,4.73,7
343,10,8,32,10,32,9,43,11,34,13,19,20,20,20,17,15,36,34,0.0,7
344,19,12,35,9,39,12,33,11,32,14,19,20,20,20,18,17,41,42,0.0,7
345,32,8,41,10,33,13,37,14,37,14,18,13,23,22,21,16,39,38,5.96,7
346,32,10,40,12,43,16,32,11,32,14,19,14,20,19,19,21,36,44,5.77,7
347,32,15,32,15,32,11,38,9,32,10,23,17,18,20,22,22,47,47,5.62,7
