,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
51,12,0,15,4,5,6,17,5,32,6,19,18,17,21,17,20,39,42,0.0,14
104,24,8,21,9,32,8,32,9,14,9,15,12,19,20,21,22,43,45,4.96,14
209,22,10,32,14,22,11,53,17,17,12,18,17,24,21,21,16,35,42,0.0,14
216,13,8,15,10,23,9,43,11,14,13,19,20,20,20,17,15,36,34,0.0,14
217,13,6,17,6,9,12,33,11,23,14,19,20,20,20,18,17,41,42,0.0,14
220,17,12,21,12,32,15,42,13,18,15,21,14,22,20,20,20,44,37,0.0,14
282,18,1,32,5,22,8,19,9,19,8,17,18,15,17,19,11,42,40,0.0,14
283,32,7,6,3,14,5,32,9,23,8,18,17,14,17,20,13,35,34,0.0,14
326,17,8,20,7,19,9,32,8,32,9,23,19,21,17,19,14,37,39,0.0,14
333,10,2,18,5,23,9,35,10,21,5,23,19,19,16,19,13,37,40,0.0,14
348,21,11,9,4,10,8,2,6,2,7,15,17,19,17,21,11,39,34,0.0,14
349,12,4,20,3,32,8,26,8,11,5,22,17,19,18,18,12,36,26,0.0,14
