,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
4,55,11,57,13,46,13,42,10,32,14,20,20,21,21,23,22,42,48,7.12,1
9,60,15,52,13,55,18,18,9,44,13,17,20,21,21,22,21,39,43,0.0,1
15,64,11,32,13,48,15,36,16,35,9,22,20,21,20,21,15,36,37,6.81,1
16,37,12,38,10,51,16,32,12,32,11,22,23,22,21,24,24,42,42,5.96,1
20,54,11,35,14,38,17,32,12,44,12,20,22,22,21,22,24,42,47,6.5,1
21,48,10,40,15,38,16,45,13,47,17,23,23,23,22,24,23,44,45,6.92,1
23,64,13,47,17,40,16,41,14,43,14,23,21,21,23,22,22,44,46,7.5,1
24,68,11,35,5,36,14,46,7,36,14,19,19,23,20,23,22,44,46,0.0,1
25,34,10,42,13,37,18,32,13,42,12,23,21,23,23,23,23,43,46,6.23,1
26,62,13,35,11,38,13,47,15,52,14,18,19,20,21,24,21,38,42,7.42,1
27,74,11,37,10,35,18,9,8,32,11,22,20,16,20,22,21,36,48,0.0,1
31,41,9,34,13,27,14,43,13,57,18,22,23,23,22,24,19,45,38,6.77,1
37,57,16,47,13,52,19,34,9,41,11,18,20,22,22,22,22,38,44,7.27,1
39,55,14,43,10,35,16,33,13,35,13,23,23,23,20,22,23,44,45,6.65,1
41,50,9,39,11,45,17,40,14,55,18,22,23,22,21,22,22,44,45,7.23,1
43,44,9,42,15,59,19,39,15,55,19,21,21,20,22,23,22,47,44,7.54,1
44,59,9,39,12,34,16,42,11,44,12,23,22,21,22,21,22,40,43,6.96,1
47,66,12,40,12,48,14,33,13,52,11,20,20,19,19,20,21,42,45,7.46,1
48,51,8,36,10,32,18,32,9,34,14,21,21,21,21,20,17,42,44,6.08,1
49,44,14,54,11,45,19,41,16,39,18,23,23,21,21,21,24,44,45,7.08,1
52,38,10,33,11,44,15,41,14,42,12,20,19,21,22,20,22,40,39,6.15,1
54,46,9,38,8,37,14,32,12,46,11,20,19,18,20,18,18,38,46,6.15,1
56,55,9,45,10,41,11,45,11,46,10,17,20,15,21,14,15,37,37,6.5,1
57,32,8,45,15,36,14,33,15,32,11,21,24,22,22,23,17,47,45,6.08,1
62,62,9,54,11,51,11,33,12,40,14,22,23,21,21,23,20,47,45,7.31,1
63,50,14,49,13,43,19,41,14,32,11,22,19,20,21,21,20,44,47,6.96,1
64,56,11,46,11,41,13,33,9,63,15,20,23,18,20,22,20,46,41,7.08,1
68,63,14,38,13,48,15,44,12,42,14,22,21,21,22,22,22,44,48,7.5,1
69,41,10,32,16,27,18,34,12,48,16,24,24,20,21,23,22,45,47,6.46,1
72,38,10,43,16,48,20,44,16,39,13,23,21,21,22,22,16,45,47,6.85,1
74,54,11,43,10,40,15,32,11,37,15,19,23,20,21,22,19,46,35,6.65,1
78,53,11,24,9,47,14,33,9,46,15,16,17,20,19,20,23,40,47,6.5,1
80,35,9,35,11,41,15,34,9,41,9,21,16,21,21,21,22,39,44,5.85,1
83,50,9,32,17,57,17,45,13,50,14,24,24,22,22,24,21,45,47,7.08,1
84,45,9,32,8,39,12,32,7,32,9,16,16,18,22,20,15,40,46,5.65,1
85,48,10,32,8,39,16,36,12,28,9,18,22,16,21,19,16,39,47,5.85,1
86,46,11,40,10,48,12,33,14,43,12,19,22,20,21,20,20,36,36,6.62,1
89,51,9,36,11,44,16,36,11,51,13,20,23,20,22,22,21,42,46,6.96,1
91,61,9,43,10,51,14,46,10,42,14,21,23,22,21,21,23,41,43,7.31,1
92,53,9,26,9,45,15,44,8,32,8,15,18,13,22,19,20,38,46,6.27,1
94,63,11,38,14,49,18,34,12,41,15,22,22,20,22,19,23,43,41,7.15,1
98,54,15,32,12,42,14,41,15,41,17,21,23,21,20,23,22,47,45,6.65,1
100,36,10,40,11,42,15,45,16,42,17,20,21,20,21,22,19,46,46,6.73,1
101,49,10,44,15,40,19,44,12,39,13,22,21,19,22,22,20,45,46,6.77,1
103,58,16,37,11,27,14,33,16,58,17,18,20,22,20,23,24,46,44,7.27,1
105,26,8,38,13,46,15,33,9,41,18,22,21,20,22,23,24,47,45,6.23,1
112,46,9,45,16,46,20,32,15,50,14,23,23,20,20,23,21,46,44,7.08,1
118,42,11,32,9,53,15,44,9,35,12,15,17,15,16,19,17,32,30,5.92,1
122,32,11,64,11,57,19,32,12,46,19,24,21,21,22,23,24,42,38,7.15,1
124,52,12,56,10,54,13,39,8,33,12,21,18,18,19,23,20,42,39,6.85,1
139,33,4,51,10,43,11,42,8,17,14,21,16,15,16,22,22,42,40,0.0,1
148,37,12,49,16,61,14,51,11,40,15,20,21,20,20,23,19,48,42,7.35,1
149,41,16,39,12,40,12,32,8,34,14,23,20,15,16,24,22,43,41,6.19,1
154,40,16,58,18,63,15,43,15,33,13,19,20,23,19,21,19,40,39,7.42,1
155,53,14,53,10,39,13,35,10,43,19,18,20,19,20,23,22,40,37,6.96,1
156,26,9,47,8,44,8,36,8,43,12,16,20,15,16,23,22,38,35,5.73,1
157,32,12,45,8,54,10,32,8,34,11,17,19,15,17,21,22,34,39,5.73,1
159,52,17,32,12,45,13,32,11,41,13,20,22,19,20,23,21,38,37,6.23,1
160,56,16,39,9,41,14,34,8,20,14,19,14,19,19,23,23,40,40,0.0,1
161,44,9,53,4,33,8,25,8,27,9,14,14,15,15,16,0,33,30,0.0,1
166,33,10,47,9,56,15,39,12,40,11,18,20,19,20,22,18,41,40,6.62,1
167,34,11,54,11,50,16,39,10,48,17,18,20,19,19,22,21,40,37,6.73,1
172,40,15,67,12,49,16,36,11,36,16,20,20,20,22,22,16,46,41,7.19,1
177,44,14,37,7,50,17,50,12,35,15,21,14,21,21,23,20,43,36,6.62,1
187,46,14,34,9,58,18,32,11,49,17,22,22,20,18,24,24,46,47,6.92,1
191,34,12,39,11,43,15,51,13,47,12,19,18,21,20,20,20,43,34,6.58,1
192,45,11,52,11,52,17,49,9,41,13,14,17,16,22,14,12,25,35,6.54,1
193,32,9,36,11,39,17,54,12,43,15,19,18,20,19,21,19,42,44,6.27,1
194,32,9,42,13,40,15,55,14,26,8,18,20,22,20,19,21,40,47,6.19,1
195,49,9,58,8,43,14,42,12,36,13,18,13,20,19,22,22,41,40,6.62,1
197,52,4,44,6,48,11,33,6,44,13,15,20,15,17,15,16,31,36,5.92,1
