,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
3,38,12,52,12,40,18,54,13,60,18,23,22,21,22,24,24,45,46,7.54,4
5,55,13,51,16,57,19,59,16,61,17,21,20,22,22,23,20,44,46,8.5,4
8,67,17,60,19,51,20,37,16,51,19,23,22,22,22,24,22,46,48,8.62,4
10,60,10,56,17,52,18,36,12,59,17,22,23,22,21,24,22,47,48,8.08,4
11,69,15,54,13,57,19,46,18,53,17,23,22,23,22,23,19,40,33,8.46,4
12,67,16,52,13,53,15,52,17,59,17,21,20,23,22,24,24,42,47,8.46,4
13,64,9,52,12,35,15,42,13,53,10,22,22,20,22,22,21,38,37,7.38,4
14,65,13,47,14,34,16,55,10,48,15,21,20,21,22,24,21,37,42,7.73,4
17,71,17,49,9,51,18,41,12,58,11,21,23,22,21,23,22,40,47,7.85,4
18,55,9,53,17,65,20,53,12,59,20,20,22,19,21,22,24,40,45,8.5,4
19,58,11,52,8,57,19,49,13,53,14,19,20,23,22,23,22,40,45,7.85,4
22,64,19,51,19,49,19,52,19,54,18,23,22,20,23,24,24,45,46,8.62,4
28,62,17,58,14,54,19,62,16,53,15,21,18,20,21,21,23,39,43,8.54,4
29,62,16,47,16,61,18,50,17,56,17,19,21,20,22,20,20,42,43,8.42,4
30,67,14,48,13,39,20,55,16,42,17,23,21,23,23,23,21,40,47,8.0,4
32,74,15,59,16,56,19,44,18,62,16,23,21,23,23,23,24,43,45,9.08,4
34,70,13,48,9,50,19,49,9,37,15,21,19,19,21,18,22,38,40,7.62,4
36,69,12,32,11,43,19,43,14,55,17,23,23,23,23,24,23,45,44,7.69,4
40,68,14,45,16,61,19,63,18,56,18,23,23,21,22,23,23,46,45,9.23,4
42,59,13,40,9,55,15,46,14,54,15,17,21,19,21,16,22,40,45,7.54,4
50,61,14,54,10,54,19,55,11,66,20,18,18,16,22,19,22,39,43,8.46,4
53,62,13,63,13,60,18,45,16,62,19,23,22,23,22,21,23,42,44,9.04,4
58,73,13,61,11,50,18,44,16,49,14,19,23,21,21,21,20,47,45,8.31,4
59,68,12,56,12,45,13,51,17,56,14,22,23,22,21,22,21,44,44,8.15,4
60,76,14,56,14,48,16,53,14,62,18,23,21,22,21,22,22,46,47,8.77,4
66,44,17,57,14,69,20,61,18,48,18,22,20,22,22,21,23,46,38,9.08,4
67,78,18,55,20,50,19,45,17,64,20,24,24,20,22,23,23,44,48,8.92,4
73,62,13,53,11,45,16,45,10,52,14,21,23,19,21,23,21,44,45,7.81,4
75,73,15,54,19,56,19,51,17,63,15,24,23,23,22,22,22,46,40,8.92,4
76,75,17,54,14,56,18,43,14,62,13,20,19,22,22,21,20,42,38,8.42,4
77,69,16,41,17,56,20,44,14,63,17,23,23,21,22,22,24,44,47,8.62,4
79,48,14,49,13,49,17,43,15,68,17,20,20,20,22,21,16,41,33,7.96,4
87,64,15,57,16,66,19,50,17,52,16,24,24,22,23,21,22,43,44,8.58,4
88,69,13,46,15,60,16,41,13,47,11,23,22,20,21,22,19,44,44,8.15,4
93,70,15,53,13,62,19,41,12,56,15,23,23,18,22,20,22,41,45,8.62,4
95,55,12,47,14,48,15,48,17,61,15,24,23,20,23,22,24,45,48,7.88,4
97,69,18,52,19,58,18,40,16,64,19,24,23,19,23,23,24,45,47,8.92,4
102,62,12,48,17,48,18,46,14,43,15,24,21,20,22,22,17,45,45,7.58,4
116,35,12,56,13,62,16,65,13,60,16,20,21,20,21,22,22,45,40,8.12,4
117,47,14,66,8,68,12,38,12,43,11,18,18,18,16,22,21,34,35,7.0,4
120,56,15,55,17,71,19,53,13,51,20,19,19,20,22,24,22,41,40,8.5,4
127,55,17,72,15,58,16,52,15,51,17,20,20,22,21,23,20,44,39,8.38,4
130,64,18,54,14,52,17,48,12,67,17,20,21,20,22,24,18,48,42,8.62,4
131,55,14,50,15,60,19,40,12,44,18,20,21,21,20,23,22,45,38,7.73,4
132,68,19,55,17,59,16,55,13,48,18,24,22,22,22,24,24,45,40,8.62,4
133,59,13,46,8,51,14,49,13,47,19,21,22,19,20,22,20,43,38,7.58,4
135,45,11,63,14,53,13,51,10,37,14,19,19,18,19,23,18,40,41,7.42,4
137,44,13,63,10,50,13,55,15,35,17,22,21,19,19,21,18,37,35,7.31,4
140,49,10,58,14,48,13,56,12,33,17,20,17,19,20,23,19,42,40,7.27,4
141,69,19,56,11,58,16,53,13,47,18,20,20,20,21,24,23,46,43,8.31,4
145,68,14,50,13,49,18,43,11,49,20,21,20,20,18,24,24,48,42,7.96,4
151,59,19,32,15,60,18,65,11,51,16,22,21,19,19,23,21,45,41,8.23,4
152,55,17,75,10,52,17,53,10,50,17,21,20,16,19,23,22,45,41,8.15,4
158,35,18,55,13,70,16,62,13,43,17,19,20,20,20,24,21,47,40,8.12,4
163,43,13,56,13,65,16,51,13,49,18,18,22,20,21,22,22,42,38,7.85,4
168,32,11,66,11,60,11,57,11,55,15,19,19,19,19,21,21,41,42,7.54,4
170,55,15,63,12,49,16,44,11,53,13,20,21,20,20,23,18,45,40,7.92,4
174,62,10,71,16,62,20,33,8,58,15,16,13,18,22,20,20,47,44,8.23,4
175,49,14,55,8,73,14,48,14,55,16,20,21,21,22,23,18,47,43,8.19,4
176,60,12,62,11,57,17,52,13,53,15,20,20,21,21,22,21,45,42,8.08,4
181,52,20,52,14,58,18,54,13,55,17,24,22,21,21,22,22,46,47,8.23,4
184,50,17,41,11,72,17,56,12,55,13,20,20,20,19,22,23,44,44,7.85,4
186,69,12,59,15,67,17,54,15,39,16,22,22,23,23,20,23,44,45,8.62,4
190,44,13,35,15,50,19,59,15,58,18,19,22,23,23,19,20,45,44,7.65,4
198,34,10,50,8,59,18,46,10,57,15,19,21,19,19,24,23,44,42,7.12,4
200,54,18,53,13,56,19,46,10,49,17,20,21,19,19,22,21,43,45,7.88,4
203,54,14,56,14,61,18,45,13,58,15,19,18,21,19,22,20,43,42,7.96,4
210,48,15,50,9,55,15,47,12,63,14,18,16,20,20,20,19,40,45,7.58,4
234,55,19,53,15,71,17,32,9,41,18,20,20,22,18,24,15,47,42,7.58,4
235,60,13,64,14,56,11,59,11,54,16,21,18,19,18,23,23,45,40,8.27,4
238,73,17,58,11,60,14,56,16,42,19,22,18,20,17,23,18,43,44,8.38,4
239,60,14,50,10,48,9,53,16,45,15,21,20,20,19,22,20,45,46,7.58,4
241,74,13,39,11,59,10,50,14,41,13,22,20,20,18,20,14,40,44,7.69,4
243,43,13,56,14,50,12,39,14,61,17,22,22,23,20,24,24,47,48,7.69,4
254,61,15,61,13,60,12,37,14,55,14,24,20,22,18,23,19,40,33,7.96,4
255,60,14,61,13,55,16,60,7,42,14,23,21,20,18,23,22,41,46,7.88,4
257,48,16,61,14,71,18,59,11,46,16,21,20,18,19,23,17,37,44,8.42,4
258,51,14,58,9,59,10,49,16,45,11,24,19,22,17,23,18,38,40,7.31,4
263,66,19,56,10,56,13,65,10,52,11,24,19,21,18,23,17,37,38,8.35,4
265,45,11,60,13,42,15,49,10,51,14,24,20,22,20,23,18,42,46,7.23,4
267,61,17,53,12,52,17,51,10,43,13,21,20,20,20,23,17,44,34,7.73,4
270,50,15,57,15,58,16,46,11,45,15,24,21,21,19,23,18,46,34,7.73,4
271,49,18,63,14,68,18,53,13,48,17,24,22,23,22,24,18,48,48,8.35,4
272,59,16,44,9,68,17,55,15,38,11,21,20,23,21,24,16,47,44,8.12,4
