,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
8,67,17,60,19,51,20,37,16,51,19,23,22,22,22,24,22,46,48,8.62,0
10,60,10,56,17,52,18,36,12,59,17,22,23,22,21,24,22,47,48,8.08,0
53,62,13,63,13,60,18,45,16,62,19,23,22,23,22,21,23,42,44,9.04,0
127,55,17,72,15,58,16,52,15,51,17,20,20,22,21,23,20,44,39,8.38,0
152,55,17,75,10,52,17,53,10,50,17,21,20,16,19,23,22,45,41,8.15,0
170,55,15,63,12,49,16,44,11,53,13,20,21,20,20,23,18,45,40,7.92,0
174,62,10,71,16,62,20,33,8,58,15,16,13,18,22,20,20,47,44,8.23,0
176,60,12,62,11,57,17,52,13,53,15,20,20,21,21,22,21,45,42,8.08,0
203,54,14,56,14,61,18,45,13,58,15,19,18,21,19,22,20,43,42,7.96,0
234,55,19,53,15,71,17,32,9,41,18,20,20,22,18,24,15,47,42,7.58,0
254,61,15,61,13,60,12,37,14,55,14,24,20,22,18,23,19,40,33,7.96,0
285,65,15,64,13,51,15,33,11,52,12,23,20,20,18,20,20,40,41,7.96,0
303,57,19,60,13,60,18,37,14,58,15,24,18,22,21,23,18,42,41,8.42,0
314,73,19,64,11,66,17,33,10,42,14,23,21,22,16,21,18,41,39,8.23,0
