,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
1,77,19,57,18,68,20,58,18,60,18,23,23,23,22,24,24,44,46,9.54,2
65,73,17,65,11,67,20,55,19,66,19,19,24,22,22,22,23,45,48,9.54,2
71,80,19,67,17,70,20,64,20,69,17,23,24,23,23,24,24,45,45,10.0,2
115,62,18,66,17,65,20,64,18,69,20,24,22,24,23,24,24,48,48,10.0,2
123,80,18,68,17,59,18,62,15,66,20,21,22,23,22,24,24,41,40,9.69,2
128,69,17,70,14,57,19,61,13,67,20,19,20,21,22,24,24,47,47,9.5,2
129,73,17,61,15,66,16,66,11,65,19,20,21,20,19,22,22,44,42,9.65,2
134,77,18,70,12,69,20,68,13,57,17,21,22,22,21,24,24,41,42,9.69,2
142,68,18,73,16,51,20,68,17,62,17,22,21,24,21,24,23,46,41,9.54,2
144,72,19,65,16,71,16,67,12,55,18,21,20,20,21,24,23,46,46,9.54,2
147,77,19,73,19,71,17,61,17,54,17,22,21,24,23,23,21,44,42,9.54,2
179,77,19,69,16,75,19,70,12,59,17,24,21,21,20,21,20,45,43,9.85,2
180,75,19,74,17,76,19,60,11,50,17,21,21,20,20,20,19,43,44,9.19,2
182,67,16,56,16,67,18,63,14,61,19,24,22,21,20,23,22,47,46,9.54,2
185,64,17,76,14,70,20,67,16,55,16,19,21,24,23,23,17,46,43,9.69,2
196,71,12,63,9,78,17,53,15,58,16,19,22,23,21,20,23,44,44,8.92,2
219,62,20,64,17,71,20,55,16,68,18,23,22,24,22,22,19,46,46,9.69,2
233,78,20,70,18,79,18,73,20,70,20,21,21,21,23,21,21,41,42,10.0,2
236,62,17,68,15,75,19,65,18,63,18,23,20,24,22,24,18,47,44,9.81,2
245,70,20,64,16,67,17,66,16,57,16,22,18,22,18,23,21,42,47,9.69,2
247,80,20,71,17,71,19,65,18,61,20,24,23,23,22,24,23,48,48,10.0,2
248,74,19,64,16,73,16,66,18,66,16,22,18,23,20,24,22,48,48,10.0,2
249,62,17,66,15,67,16,55,15,70,18,22,18,23,21,24,24,49,48,9.5,2
250,80,20,69,18,72,19,72,19,70,18,24,20,24,21,23,19,40,44,10.0,2
251,73,20,67,11,72,15,69,15,58,16,24,20,23,21,23,19,42,44,9.54,2
252,71,20,69,17,77,14,70,16,64,18,24,20,22,22,23,15,42,46,9.96,2
253,68,18,69,16,79,17,62,15,62,15,24,21,20,19,23,20,41,48,9.65,2
266,76,18,69,16,67,14,59,16,61,20,24,21,20,19,23,17,42,48,9.81,2
268,80,20,78,19,78,19,68,19,65,20,24,23,22,23,24,20,49,46,10.0,2
273,66,14,61,11,71,18,60,11,59,15,18,20,19,21,21,24,44,46,9.04,2
277,67,18,59,12,71,18,57,17,59,15,24,20,22,22,23,21,47,47,9.08,2
288,79,18,69,13,66,17,69,18,61,16,23,18,23,23,23,24,41,48,9.85,2
295,76,20,70,18,73,18,68,19,62,19,24,23,22,21,22,24,49,49,10.0,2
296,68,19,75,19,59,19,69,18,68,19,23,22,24,23,24,24,48,49,9.85,2
297,80,19,59,16,60,14,70,18,57,14,23,20,24,21,24,16,41,46,9.23,2
299,70,18,69,14,72,20,66,19,56,14,23,21,22,20,23,15,48,45,9.65,2
300,72,20,66,17,72,19,75,20,68,20,23,21,24,23,24,24,48,48,10.0,2
305,66,15,63,12,75,16,73,12,57,15,24,22,24,18,24,20,48,47,9.54,2
307,74,20,75,17,74,19,68,19,68,19,24,23,24,22,24,24,45,48,10.0,2
311,71,20,72,17,76,20,62,19,65,19,24,23,24,21,24,24,46,48,10.0,2
318,67,19,60,15,75,20,65,20,59,15,24,22,24,22,24,23,47,46,9.54,2
319,70,19,56,17,68,19,66,18,54,18,24,23,21,20,24,19,47,47,9.38,2
321,65,17,65,16,71,19,56,16,65,17,23,23,19,19,22,24,46,48,9.65,2
323,61,17,68,13,73,17,68,17,65,15,23,21,22,18,23,20,46,46,9.81,2
