,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
14,65,13,47,14,34,16,55,10,48,15,21,20,21,22,24,21,37,42,7.73,9
19,58,11,52,8,57,19,49,13,53,14,19,20,23,22,23,22,40,45,7.85,9
30,67,14,48,13,39,20,55,16,42,17,23,21,23,23,23,21,40,47,8.0,9
34,70,13,48,9,50,19,49,9,37,15,21,19,19,21,18,22,38,40,7.62,9
58,73,13,61,11,50,18,44,16,49,14,19,23,21,21,21,20,47,45,8.31,9
62,62,9,54,11,51,11,33,12,40,14,22,23,21,21,23,20,47,45,7.31,9
73,62,13,53,11,45,16,45,10,52,14,21,23,19,21,23,21,44,45,7.81,9
88,69,13,46,15,60,16,41,13,47,11,23,22,20,21,22,19,44,44,8.15,9
91,61,9,43,10,51,14,46,10,42,14,21,23,22,21,21,23,41,43,7.31,9
102,62,12,48,17,48,18,46,14,43,15,24,21,20,22,22,17,45,45,7.58,9
131,55,14,50,15,60,19,40,12,44,18,20,21,21,20,23,22,45,38,7.73,9
133,59,13,46,8,51,14,49,13,47,19,21,22,19,20,22,20,43,38,7.58,9
141,69,19,56,11,58,16,53,13,47,18,20,20,20,21,24,23,46,43,8.31,9
145,68,14,50,13,49,18,43,11,49,20,21,20,20,18,24,24,48,42,7.96,9
200,54,18,53,13,56,19,46,10,49,17,20,21,19,19,22,21,43,45,7.88,9
239,60,14,50,10,48,9,53,16,45,15,21,20,20,19,22,20,45,46,7.58,9
241,74,13,39,11,59,10,50,14,41,13,22,20,20,18,20,14,40,44,7.69,9
267,61,17,53,12,52,17,51,10,43,13,21,20,20,20,23,17,44,34,7.73,9
272,59,16,44,9,68,17,55,15,38,11,21,20,23,21,24,16,47,44,8.12,9
276,55,14,59,15,51,12,53,11,41,10,20,20,20,19,24,21,44,46,7.54,9
286,64,14,56,9,62,16,45,13,26,13,23,21,21,17,22,14,41,34,7.62,9
306,61,13,60,15,52,18,58,16,32,14,24,23,24,20,22,22,47,42,8.08,9
317,58,19,56,9,57,16,54,15,37,13,24,21,23,20,22,19,47,46,7.96,9
322,69,18,63,8,49,19,40,10,35,10,23,21,21,18,24,24,48,47,7.81,9
