,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
33,45,13,7,8,43,15,33,10,39,13,22,19,23,22,23,24,42,38,0.0,16
38,51,9,22,6,39,14,18,8,19,9,14,18,14,20,14,14,39,29,0.0,16
45,36,9,12,8,32,18,32,8,32,12,17,17,19,21,17,13,38,31,0.0,16
84,45,9,32,8,39,12,32,7,32,9,16,16,18,22,20,15,40,46,5.65,16
85,48,10,32,8,39,16,36,12,28,9,18,22,16,21,19,16,39,47,5.85,16
92,53,9,26,9,45,15,44,8,32,8,15,18,13,22,19,20,38,46,6.27,16
106,35,10,18,9,38,9,32,10,32,9,14,14,19,20,23,23,44,42,0.0,16
109,45,12,23,8,32,10,34,10,33,11,14,16,19,21,20,22,43,45,0.0,16
110,32,7,11,15,32,11,6,9,26,10,23,17,18,20,22,22,47,47,0.0,16
214,37,16,33,11,34,15,32,12,22,13,19,13,21,17,16,19,46,36,0.0,16
256,49,14,22,8,39,10,22,8,32,11,22,18,20,18,23,17,35,42,0.0,16
259,46,13,32,11,39,8,33,11,34,12,24,19,22,18,24,14,37,44,8.81,16
324,40,11,20,8,34,8,40,5,33,14,24,20,20,18,20,17,48,48,0.0,16
