,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
0,77,17,52,18,62,20,53,18,53,17,24,23,24,22,24,24,48,46,9.08,8
6,76,18,69,18,52,20,56,20,57,16,23,20,23,22,23,23,42,46,9.23,8
11,69,15,54,13,57,19,46,18,53,17,23,22,23,22,23,19,40,33,8.46,8
12,67,16,52,13,53,15,52,17,59,17,21,20,23,22,24,24,42,47,8.46,8
17,71,17,49,9,51,18,41,12,58,11,21,23,22,21,23,22,40,47,7.85,8
22,64,19,51,19,49,19,52,19,54,18,23,22,20,23,24,24,45,46,8.62,8
29,62,16,47,16,61,18,50,17,56,17,19,21,20,22,20,20,42,43,8.42,8
32,74,15,59,16,56,19,44,18,62,16,23,21,23,23,23,24,43,45,9.08,8
35,76,16,58,13,64,17,55,15,68,16,23,22,23,21,22,24,39,45,9.38,8
40,68,14,45,16,61,19,63,18,56,18,23,23,21,22,23,23,46,45,9.23,8
46,68,18,68,18,55,19,50,18,68,17,22,20,23,23,23,23,42,44,9.23,8
50,61,14,54,10,54,19,55,11,66,20,18,18,16,22,19,22,39,43,8.46,8
55,73,14,59,18,45,19,69,17,64,17,20,21,21,23,23,23,45,48,9.38,8
59,68,12,56,12,45,13,51,17,56,14,22,23,22,21,22,21,44,44,8.15,8
60,76,14,56,14,48,16,53,14,62,18,23,21,22,21,22,22,46,47,8.77,8
67,78,18,55,20,50,19,45,17,64,20,24,24,20,22,23,23,44,48,8.92,8
75,73,15,54,19,56,19,51,17,63,15,24,23,23,22,22,22,46,40,8.92,8
76,75,17,54,14,56,18,43,14,62,13,20,19,22,22,21,20,42,38,8.42,8
77,69,16,41,17,56,20,44,14,63,17,23,23,21,22,22,24,44,47,8.62,8
81,70,13,54,19,61,20,51,19,63,14,24,24,23,22,24,23,44,46,9.23,8
82,63,17,60,17,65,20,55,17,58,16,24,23,20,20,24,22,47,47,9.23,8
87,64,15,57,16,66,19,50,17,52,16,24,24,22,23,21,22,43,44,8.58,8
90,75,15,45,13,71,18,55,12,54,16,22,21,21,22,22,21,42,43,8.62,8
93,70,15,53,13,62,19,41,12,56,15,23,23,18,22,20,22,41,45,8.62,8
97,69,18,52,19,58,18,40,16,64,19,24,23,19,23,23,24,45,47,8.92,8
126,68,17,61,14,68,20,52,13,68,18,24,22,20,20,24,24,47,47,9.38,8
130,64,18,54,14,52,17,48,12,67,17,20,21,20,22,24,18,48,42,8.62,8
204,69,12,63,10,55,20,57,9,63,14,19,18,18,19,22,21,44,41,8.77,8
275,67,19,45,17,72,18,34,12,57,15,24,22,22,22,24,23,49,46,8.46,8
287,75,19,58,16,68,20,54,13,54,16,23,21,24,20,24,21,44,44,8.92,8
291,60,18,61,12,51,16,54,16,61,16,23,17,23,22,24,24,43,48,8.58,8
302,71,17,61,11,54,15,50,10,57,19,20,19,21,22,22,22,47,47,8.58,8
310,73,19,66,13,57,19,56,14,64,16,24,22,23,18,24,18,48,48,9.38,8
