,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
9,60,15,52,13,55,18,18,9,44,13,17,20,21,21,22,21,39,43,0.0,4
15,64,11,32,13,48,15,36,16,35,9,22,20,21,20,21,15,36,37,6.81,4
24,68,11,35,5,36,14,46,7,36,14,19,19,23,20,23,22,44,46,0.0,4
27,74,11,37,10,35,18,9,8,32,11,22,20,16,20,22,21,36,48,0.0,4
37,57,16,47,13,52,19,34,9,41,11,18,20,22,22,22,22,38,44,7.27,4
39,55,14,43,10,35,16,33,13,35,13,23,23,23,20,22,23,44,45,6.65,4
48,51,8,36,10,32,18,32,9,34,14,21,21,21,21,20,17,42,44,6.08,4
63,50,14,49,13,43,19,41,14,32,11,22,19,20,21,21,20,44,47,6.96,4
74,54,11,43,10,40,15,32,11,37,15,19,23,20,21,22,19,46,35,6.65,4
94,63,11,38,14,49,18,34,12,41,15,22,22,20,22,19,23,43,41,7.15,4
159,52,17,32,12,45,13,32,11,41,13,20,22,19,20,23,21,38,37,6.23,4
160,56,16,39,9,41,14,34,8,20,14,19,14,19,19,23,23,40,40,0.0,4
205,68,14,32,11,46,16,42,10,34,14,19,14,18,19,19,19,44,42,7.0,4
224,74,11,37,10,35,18,4,8,32,11,22,20,16,20,22,21,36,48,0.0,4
240,60,13,53,13,41,15,39,5,34,12,21,19,19,16,22,19,42,45,0.0,4
279,69,14,38,12,41,10,32,9,19,7,21,17,22,20,24,17,45,44,0.0,4
289,52,14,44,10,39,13,32,12,37,10,23,18,22,17,22,15,41,39,6.38,4
315,64,17,33,12,33,12,35,8,28,10,22,18,22,17,19,19,42,40,6.54,4
