,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
4,55,11,57,13,46,13,42,10,32,14,20,20,21,21,23,22,42,48,7.12,10
49,44,14,54,11,45,19,41,16,39,18,23,23,21,21,21,24,44,45,7.08,10
117,47,14,66,8,68,12,38,12,43,11,18,18,18,16,22,21,34,35,7.0,10
122,32,11,64,11,57,19,32,12,46,19,24,21,21,22,23,24,42,38,7.15,10
124,52,12,56,10,54,13,39,8,33,12,21,18,18,19,23,20,42,39,6.85,10
135,45,11,63,14,53,13,51,10,37,14,19,19,18,19,23,18,40,41,7.42,10
137,44,13,63,10,50,13,55,15,35,17,22,21,19,19,21,18,37,35,7.31,10
140,49,10,58,14,48,13,56,12,33,17,20,17,19,20,23,19,42,40,7.27,10
154,40,16,58,18,63,15,43,15,33,13,19,20,23,19,21,19,40,39,7.42,10
155,53,14,53,10,39,13,35,10,43,19,18,20,19,20,23,22,40,37,6.96,10
167,34,11,54,11,50,16,39,10,48,17,18,20,19,19,22,21,40,37,6.73,10
172,40,15,67,12,49,16,36,11,36,16,20,20,20,22,22,16,46,41,7.19,10
192,45,11,52,11,52,17,49,9,41,13,14,17,16,22,14,12,25,35,6.54,10
195,49,9,58,8,43,14,42,12,36,13,18,13,20,19,22,22,41,40,6.62,10
201,32,9,64,10,41,13,35,4,48,13,17,19,15,15,19,19,43,45,0.0,10
242,51,12,67,6,37,8,36,9,51,12,17,18,18,17,20,16,38,34,6.73,10
258,51,14,58,9,59,10,49,16,45,11,24,19,22,17,23,18,38,40,7.31,10
265,45,11,60,13,42,15,49,10,51,14,24,20,22,20,23,18,42,46,7.23,10
270,50,15,57,15,58,16,46,11,45,15,24,21,21,19,23,18,46,34,7.73,10
294,40,12,61,9,52,16,40,17,55,10,23,21,24,20,23,21,44,45,7.38,10
