, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
66,44,17,57,14,69,20,61,18,48,18,22,20,22,22,21,23,46,38,64,17,64,13,53,17,59,17,65,20,20,21,21,20,18,20,22,21,15,20,9.08,9.22,2
117,47,14,66,8,68,12,38,12,43,11,18,18,18,16,22,21,34,35,68,19,41,16,43,9,65,13,56,14,22,22,21,21,23,18,23,23,22,20,7.0,8.37,2
122,32,11,64,11,57,19,32,12,46,19,24,21,21,22,23,24,42,38,47,16,56,11,32,10,52,15,56,15,20,22,20,20,22,22,21,20,15,21,7.15,7.22,2
131,55,14,50,15,60,19,40,12,44,18,20,21,21,20,23,22,45,38,56,16,63,13,47,11,64,18,60,15,21,21,22,23,22,20,23,23,19,23,7.73,8.74,2
135,45,11,63,14,53,13,51,10,37,14,19,19,18,19,23,18,40,41,62,16,65,15,48,11,60,17,62,13,21,20,19,18,19,21,22,22,19,19,7.42,8.78,2
136,56,17,61,18,66,18,64,16,48,19,23,20,18,20,23,21,45,46,56,19,54,18,50,12,67,19,54,15,24,19,23,21,21,21,21,21,21,21,8.96,8.63,2
137,44,13,63,10,50,13,55,15,35,17,22,21,19,19,21,18,37,35,51,19,57,11,47,9,62,16,49,12,17,21,18,20,19,20,20,20,16,19,7.31,7.84,2
138,62,16,67,15,70,19,57,12,50,15,21,20,19,20,23,23,44,42,70,16,50,15,45,9,58,14,56,12,21,17,19,17,20,19,20,20,22,22,8.85,8.07,2
140,49,10,58,14,48,13,56,12,33,17,20,17,19,20,23,19,42,40,51,15,56,10,45,10,45,12,64,18,23,20,17,17,22,20,21,20,21,21,7.27,7.7,2
141,69,19,56,11,58,16,53,13,47,18,20,20,20,21,24,23,46,43,70,19,47,16,13,9,39,15,61,16,23,20,22,23,22,18,23,22,20,20,8.31,8.22,2
153,66,17,72,13,68,17,53,11,47,15,20,21,19,19,22,22,40,38,65,17,32,16,49,10,55,11,65,14,20,20,18,20,18,20,20,20,16,20,8.96,7.95,2
154,40,16,58,18,63,15,43,15,33,13,19,20,23,19,21,19,40,39,55,15,41,9,32,7,51,11,51,13,20,18,23,21,20,19,22,21,17,15,7.42,6.96,2
158,35,18,55,13,70,16,62,13,43,17,19,20,20,20,24,21,47,40,64,17,57,12,54,11,54,15,59,17,23,20,23,22,23,21,21,20,18,18,8.12,8.37,2
163,43,13,56,13,65,16,51,13,49,18,18,22,20,21,22,22,42,38,72,20,45,19,61,12,54,14,64,18,23,23,19,20,23,22,21,18,19,20,7.85,8.67,2
165,44,12,72,16,72,16,59,12,55,19,19,21,20,20,24,24,46,42,76,20,59,17,51,14,47,16,67,16,24,22,23,22,23,22,22,17,22,22,8.62,8.93,2
167,34,11,54,11,50,16,39,10,48,17,18,20,19,19,22,21,40,37,57,18,55,14,44,12,62,16,55,13,22,20,21,20,22,22,20,16,17,13,6.73,7.89,2
168,32,11,66,11,60,11,57,11,55,15,19,19,19,19,21,21,41,42,62,18,49,18,53,12,54,16,63,15,21,21,20,22,23,22,20,16,22,22,7.54,8.59,2
170,55,15,63,12,49,16,44,11,53,13,20,21,20,20,23,18,45,40,68,17,50,9,33,10,52,12,62,10,18,15,20,20,23,19,17,21,19,15,7.92,7.41,2
172,40,15,67,12,49,16,36,11,36,16,20,20,20,22,22,16,46,41,68,16,39,15,32,10,50,11,51,12,19,19,20,20,19,20,19,22,18,19,7.19,7.41,2
174,62,10,71,16,62,20,33,8,58,15,16,13,18,22,20,20,47,44,71,20,49,17,47,11,61,15,67,19,21,20,21,20,20,19,21,23,22,18,8.23,8.78,2
175,49,14,55,8,73,14,48,14,55,16,20,21,21,22,23,18,47,43,70,18,45,17,55,11,59,12,64,13,21,18,20,21,19,19,19,21,18,20,8.19,8.52,2
176,60,12,62,11,57,17,52,13,53,15,20,20,21,21,22,21,45,42,57,18,55,16,59,15,60,13,58,14,18,19,20,20,20,23,22,22,18,18,8.08,8.41,2
184,50,17,41,11,72,17,56,12,55,13,20,20,20,19,22,23,44,44,57,17,53,18,47,9,51,12,54,15,20,21,18,19,18,20,21,21,18,22,7.85,7.74,2
186,69,12,59,15,67,17,54,15,39,16,22,22,23,23,20,23,44,45,53,20,47,14,49,10,61,15,61,15,21,20,20,21,15,19,22,22,18,19,8.62,8.14,2
