, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
mean,34.220338983050844,9.745762711864407,37.47457627118644,9.966101694915254,42.847457627118644,12.830508474576272,36.16949152542373,10.389830508474576,35.33898305084746,11.898305084745763,19.084745762711865,18.47457627118644,19.305084745762713,18.88135593220339,20.1864406779661,18.28813559322034,40.69491525423729,41.25423728813559,44.94915254237288,13.254237288135593,46.271186440677965,11.983050847457626,43.91525423728814,11.101694915254237,46.11864406779661,12.305084745762711,48.50847457627118,13.94915254237288,19.864406779661017,18.89830508474576,19.322033898305083,18.847457627118644,19.54237288135593,18.23728813559322,20.491525423728813,19.491525423728813,18.89830508474576,18.35593220338983,3.504406779661017,6.56186440677966,1.0
std,9.906577050052482,2.7767086714619222,9.979903828234345,2.5928688790531997,8.490996365973,2.9015604741710574,10.341000655864118,2.671800046414159,7.7026868789325835,2.7335395473712585,3.1254689887705207,2.6545727119209803,2.458302170535561,3.2962086149388297,2.642325101191324,4.810372583812048,4.643327572008052,5.3161861502493375,9.16970974762233,2.910108543650391,7.058451789984621,2.9623588307626663,8.775530508756207,3.1496847967870742,7.803811504118847,2.9080994936741984,8.284536657711351,3.385688585866627,2.3668517363836306,2.5575777552762777,2.169066841835063,2.007001188272021,2.321726719924316,1.8693441875183208,2.207923672437072,2.336906895847528,2.3903175034684185,3.472863827986662,3.177077528921955,1.8952913292359033,0.0
min,15.0,1.0,7.0,4.0,32.0,8.0,12.0,4.0,13.0,7.0,11.0,13.0,14.0,0.0,14.0,0.0,25.0,29.0,19.0,8.0,32.0,6.0,20.0,3.0,20.0,8.0,32.0,8.0,13.0,14.0,13.0,14.0,12.0,14.0,13.0,15.0,12.0,0.0,0.0,0.0,1.0
25%,32.0,8.5,32.0,8.0,37.0,10.5,32.0,8.0,32.0,9.5,17.0,17.0,18.0,17.0,18.5,16.5,38.0,37.0,40.0,11.0,41.5,10.0,39.0,9.0,41.5,10.0,43.0,11.0,18.5,17.0,18.0,18.0,19.0,17.0,20.0,18.0,18.0,17.0,0.0,6.494999999999999,1.0
50%,33.0,10.0,38.0,10.0,41.0,13.0,34.0,10.0,35.0,12.0,20.0,19.0,20.0,20.0,21.0,19.0,41.0,43.0,45.0,13.0,46.0,12.0,43.0,11.0,47.0,12.0,49.0,14.0,21.0,19.0,20.0,19.0,20.0,18.0,21.0,20.0,19.0,19.0,5.65,6.93,1.0
75%,40.0,11.5,43.5,11.0,48.0,15.0,42.0,12.0,41.0,14.0,22.0,20.0,21.0,21.0,22.0,22.0,44.0,45.5,50.5,15.5,51.0,13.5,50.0,13.0,51.0,14.0,53.5,17.0,22.0,21.0,21.0,20.0,21.0,20.0,22.0,21.5,20.0,20.0,6.210000000000001,7.4350000000000005,1.0
max,55.0,16.0,64.0,16.0,68.0,20.0,59.0,16.0,48.0,18.0,24.0,24.0,23.0,23.0,24.0,24.0,48.0,48.0,68.0,19.0,63.0,19.0,60.0,18.0,63.0,20.0,67.0,20.0,23.0,25.0,23.0,22.0,23.0,22.0,24.0,23.0,23.0,23.0,8.81,8.63,1.0
