, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
mean,69.57894736842105,18.228070175438596,67.12280701754386,15.403508771929825,68.98245614035088,17.70175438596491,63.87719298245614,15.912280701754385,59.21052631578947,17.017543859649123,22.57894736842105,21.157894736842106,22.280701754385966,21.17543859649123,23.140350877192983,21.17543859649123,45.21052631578947,45.73684210526316,70.10526315789474,17.596491228070175,68.19298245614036,17.771929824561404,66.24561403508773,16.54385964912281,67.26315789473684,17.36842105263158,65.26315789473684,16.596491228070175,22.333333333333332,22.07017543859649,22.0,21.982456140350877,22.29824561403509,21.92982456140351,22.473684210526315,21.45614035087719,21.859649122807017,22.228070175438596,9.539473684210526,9.661929824561401,3.0
std,6.611535828764569,1.5355029871540133,5.2849860637692885,2.0861760054737792,6.356917570844085,2.0174675805564983,5.599968671591566,2.7010626331817873,7.362396839212424,2.287319298640843,1.6791512356486697,1.4612796946049242,1.6877117429579898,2.10545895079522,1.109031052174247,2.8038417969020895,2.6168195124811833,2.4387227027795992,5.915126524810039,2.7507119151412867,5.549898958189714,2.405481417955733,7.283250603155911,2.964493304323429,5.884381008196535,2.5469279741019686,5.617340231657282,2.926844040959519,1.1852265204432035,1.8502861663113377,1.4267845968170128,1.8370320402192182,1.3358372479019305,1.6675436289302792,1.2970469640948512,2.360918219060696,1.9033672839323104,1.6368255847791082,0.3660524018528708,0.41708785729358544,0.0
min,53.0,14.0,56.0,11.0,51.0,13.0,53.0,10.0,39.0,11.0,18.0,18.0,16.0,18.0,20.0,13.0,40.0,38.0,54.0,9.0,48.0,11.0,39.0,9.0,51.0,11.0,52.0,8.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,14.0,17.0,17.0,8.69,8.3,3.0
25%,65.0,17.0,64.0,14.0,67.0,17.0,60.0,14.0,54.0,16.0,22.0,20.0,21.0,20.0,23.0,20.0,43.0,44.0,66.0,16.0,66.0,17.0,63.0,14.0,64.0,16.0,62.0,16.0,22.0,21.0,21.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,9.23,9.52,3.0
50%,69.0,18.0,68.0,16.0,71.0,18.0,65.0,16.0,59.0,17.0,23.0,21.0,23.0,21.0,24.0,22.0,46.0,46.0,71.0,19.0,70.0,19.0,67.0,17.0,67.0,18.0,67.0,17.0,23.0,23.0,22.0,22.0,23.0,22.0,23.0,22.0,22.0,23.0,9.54,9.81,3.0
75%,75.0,19.0,70.0,17.0,73.0,19.0,68.0,18.0,65.0,19.0,24.0,22.0,24.0,22.0,24.0,24.0,47.0,48.0,75.0,20.0,71.0,20.0,71.0,19.0,72.0,20.0,69.0,18.0,23.0,24.0,23.0,24.0,23.0,23.0,23.0,23.0,23.0,24.0,9.85,10.0,3.0
max,80.0,20.0,78.0,19.0,79.0,20.0,75.0,20.0,70.0,20.0,24.0,24.0,24.0,32.0,24.0,24.0,49.0,49.0,80.0,20.0,76.0,20.0,76.0,20.0,76.0,20.0,75.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,10.0,10.0,3.0
