, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
mean,20.185185185185187,7.555555555555555,21.62962962962963,9.148148148148149,30.0,11.037037037037036,27.925925925925927,9.185185185185185,27.14814814814815,10.444444444444445,17.51851851851852,16.666666666666668,18.48148148148148,18.25925925925926,18.40740740740741,16.48148148148148,38.407407407407405,39.96296296296296,33.7037037037037,9.814814814814815,39.629629629629626,10.88888888888889,31.25925925925926,9.185185185185185,34.888888888888886,10.407407407407407,39.666666666666664,13.222222222222221,18.333333333333332,16.703703703703702,18.22222222222222,17.22222222222222,18.814814814814813,17.51851851851852,20.14814814814815,19.333333333333332,17.25925925925926,15.703703703703704,0.40888888888888886,2.959259259259259,4.0
std,10.84519403322198,3.2855550208255213,9.401915304660609,3.4047896546765695,10.488088481701515,3.356755318429729,10.272914072100649,2.8016071903467927,9.159709869874968,2.764240517940803,3.984299671792256,3.3968311024337874,2.375684037045887,4.165726389631988,3.1410343624508257,5.146846460700813,6.611524083919737,5.22185850706492,12.495583265282223,3.5738046633916314,9.08146103184584,1.9480430680228287,10.1169796062499,2.3864527431224563,8.950003581148117,2.437830991479915,10.44030650891055,2.4858574334597674,3.2225169331774484,5.55957119828786,2.4547181153120263,2.846500325410855,2.0387974780971154,1.5284575022493552,2.051335469389931,1.5932550136313828,4.165726389631987,5.816520337100941,1.4813438112671509,3.1370036241438637,0.0
min,2.0,0.0,6.0,3.0,5.0,5.0,6.0,3.0,14.0,4.0,11.0,12.0,14.0,0.0,12.0,0.0,25.0,31.0,13.0,4.0,18.0,8.0,9.0,4.0,0.0,5.0,0.0,8.0,11.0,0.0,12.0,12.0,14.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,4.0
25%,13.0,7.0,15.0,6.5,23.0,9.0,19.5,8.5,20.5,9.0,14.5,13.5,17.0,17.0,17.0,13.0,35.0,34.5,22.5,8.0,35.0,10.0,27.5,8.0,32.0,8.5,38.0,11.0,17.0,15.0,17.0,16.0,18.0,17.0,18.5,18.0,16.0,14.0,0.0,0.0,4.0
50%,18.0,8.0,19.0,10.0,32.0,11.0,32.0,9.0,26.0,10.0,18.0,17.0,19.0,20.0,19.0,16.0,39.0,42.0,35.0,10.0,40.0,11.0,32.0,9.0,36.0,11.0,41.0,13.0,19.0,17.0,18.0,18.0,19.0,18.0,21.0,19.0,18.0,18.0,0.0,0.0,4.0
75%,28.0,9.5,32.0,11.0,36.5,12.5,32.5,10.5,32.0,13.0,20.5,19.0,20.0,20.5,21.0,21.0,44.0,44.0,40.0,12.0,44.0,13.0,36.5,11.0,40.0,12.0,43.5,14.0,20.5,19.5,19.5,19.0,20.0,19.0,22.0,20.0,20.0,19.0,0.0,6.055,4.0
max,51.0,15.0,36.0,15.0,51.0,18.0,53.0,17.0,55.0,14.0,23.0,23.0,24.0,22.0,23.0,23.0,47.0,47.0,60.0,18.0,60.0,14.0,52.0,13.0,44.0,14.0,54.0,19.0,23.0,24.0,23.0,23.0,23.0,20.0,23.0,22.0,21.0,22.0,6.08,6.78,4.0
