, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
mean,64.16216216216216,15.391891891891891,55.62162162162162,13.864864864864865,56.689189189189186,17.39189189189189,51.486486486486484,14.5,55.36486486486486,16.16216216216216,21.87837837837838,21.06756756756757,21.0,21.054054054054053,22.54054054054054,21.445945945945947,43.310810810810814,43.7027027027027,66.64864864864865,17.56756756756757,63.74324324324324,16.41891891891892,59.554054054054056,15.108108108108109,60.391891891891895,16.7972972972973,57.932432432432435,16.60810810810811,21.39189189189189,21.64864864864865,20.72972972972973,20.135135135135137,21.68918918918919,19.41891891891892,21.22972972972973,21.094594594594593,20.824324324324323,20.62162162162162,8.49108108108108,9.157567567567565,0.0
std,9.356013416078259,2.514710515040232,7.62781985173254,3.044529449772071,8.338597621451958,2.322124485280416,7.74462826339464,2.7361106282208354,7.43109779003412,2.2636316258894187,1.9859279098415796,1.7227811306545033,1.8056228766281015,1.5953003916203015,1.4542256724982978,2.159032583280824,2.8183628575103414,3.4630326788901495,7.3025280524660054,2.4218247455403974,6.204419129503,2.4495275292642607,5.984321734931631,2.8886531324579945,5.009080979793114,2.5959912706954236,6.009880178143822,2.4146673248135864,1.8859071257044118,2.192343041553367,1.9324007163870216,2.1088484446043667,1.5869819351042664,1.9793921632161608,2.2117203203091527,1.5976774145822654,1.9469548271216437,2.2126826382489417,0.5202753948501567,0.43549314138571954,0.0
min,35.0,9.0,32.0,8.0,34.0,9.0,33.0,9.0,37.0,10.0,17.0,16.0,16.0,16.0,16.0,15.0,37.0,33.0,49.0,8.0,48.0,10.0,40.0,9.0,47.0,10.0,43.0,10.0,16.0,10.0,14.0,16.0,16.0,15.0,14.0,16.0,16.0,14.0,7.08,8.11,0.0
25%,59.0,14.0,51.0,12.0,51.25,16.0,46.0,12.25,51.0,15.0,20.0,20.0,20.0,20.25,22.0,20.0,41.25,41.25,61.25,16.0,60.0,15.0,56.0,13.0,58.0,16.0,55.0,15.0,20.0,21.0,20.0,18.0,21.0,18.0,20.0,20.0,20.0,19.0,8.2,8.86,0.0
50%,66.5,15.0,55.5,14.0,56.0,18.0,52.5,15.0,56.0,16.0,23.0,21.0,21.0,22.0,23.0,22.0,44.0,45.0,68.0,18.0,64.0,17.0,60.5,16.0,60.0,17.0,58.0,17.0,22.0,22.0,20.0,20.0,22.0,20.0,22.0,21.0,21.0,21.0,8.48,9.235,0.0
75%,70.75,17.0,60.75,16.0,61.0,19.0,55.0,17.0,61.75,17.75,24.0,22.0,22.75,22.0,24.0,23.0,45.0,46.0,73.0,19.0,68.0,18.0,63.0,17.75,63.75,19.0,62.0,18.0,23.0,23.0,22.0,22.0,23.0,20.75,23.0,22.0,22.0,22.0,8.88,9.52,0.0
max,78.0,19.0,75.0,20.0,78.0,20.0,69.0,20.0,68.0,20.0,24.0,24.0,24.0,23.0,24.0,24.0,49.0,48.0,80.0,20.0,75.0,20.0,72.0,20.0,70.0,20.0,69.0,20.0,24.0,25.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,9.54,10.0,0.0
