, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
91,61,9,43,10,51,14,46,10,42,14,21,23,22,21,21,23,41,43,44,15,36,12,36,12,46,16,51,17,22,24,18,19,21,16,21,20,22,17,7.31,6.8,0
92,53,9,26,9,45,15,44,8,32,8,15,18,13,22,19,20,38,46,61,10,57,11,56,15,62,13,58,18,20,22,20,19,19,15,20,20,16,21,6.27,8.26,0
94,63,11,38,14,49,18,34,12,41,15,22,22,20,22,19,23,43,41,52,19,62,11,56,12,53,11,53,18,21,20,20,21,21,16,20,21,17,18,7.15,7.95,0
98,54,15,32,12,42,14,41,15,41,17,21,23,21,20,23,22,47,45,36,15,42,14,54,15,46,14,55,18,22,20,19,19,21,18,22,22,20,14,6.65,7.22,0
101,49,10,44,15,40,19,44,12,39,13,22,21,19,22,22,20,45,46,43,15,53,15,63,15,52,15,59,17,21,20,19,19,20,18,20,21,21,23,6.77,8.0,0
102,62,12,48,17,48,18,46,14,43,15,24,21,20,22,22,17,45,45,47,18,57,12,59,18,56,15,56,19,21,20,20,21,21,19,20,22,22,22,7.58,8.41,0
103,58,16,37,11,27,14,33,16,58,17,18,20,22,20,23,24,46,44,61,14,48,12,65,13,45,12,50,17,21,17,20,20,20,16,20,22,22,17,7.27,8.0,0
112,46,9,45,16,46,20,32,15,50,14,23,23,20,20,23,21,46,44,51,17,51,15,46,17,50,14,32,18,21,22,21,20,22,20,22,21,23,23,7.08,7.52,0
118,42,11,32,9,53,15,44,9,35,12,15,17,15,16,19,17,32,30,66,20,68,13,41,6,73,16,47,15,19,16,16,19,18,17,20,17,15,18,5.92,8.3,0
124,52,12,56,10,54,13,39,8,33,12,21,18,18,19,23,20,42,39,71,14,39,14,25,9,38,12,48,10,22,19,19,21,23,19,21,20,17,20,6.85,7.19,0
155,53,14,53,10,39,13,35,10,43,19,18,20,19,20,23,22,40,37,56,17,40,12,24,7,49,9,58,14,20,19,22,22,20,19,20,17,19,20,6.96,0.0,0
159,52,17,32,12,45,13,32,11,41,13,20,22,19,20,23,21,38,37,65,19,53,11,32,8,48,15,51,12,23,21,18,22,21,19,21,18,17,17,6.23,7.52,0
160,56,16,39,9,41,14,34,8,20,14,19,14,19,19,23,23,40,40,71,17,51,14,47,12,63,19,62,11,23,21,20,22,23,21,20,15,18,22,0.0,8.59,0
177,44,14,37,7,50,17,50,12,35,15,21,14,21,21,23,20,43,36,67,18,46,13,42,12,46,18,50,14,20,19,20,19,23,19,19,21,19,20,6.62,7.78,0
181,52,20,52,14,58,18,54,13,55,17,24,22,21,21,22,22,46,47,46,16,37,15,40,14,33,16,41,15,24,24,24,23,22,21,22,22,24,23,8.23,6.93,0
187,46,14,34,9,58,18,32,11,49,17,22,22,20,18,24,24,46,47,64,20,44,14,48,14,49,16,58,17,23,23,24,23,22,23,23,23,23,23,6.92,8.37,0
190,44,13,35,15,50,19,59,15,58,18,19,22,23,23,19,20,45,44,47,18,50,16,48,16,45,16,63,17,20,22,21,23,22,23,23,23,22,22,7.65,8.11,0
195,49,9,58,8,43,14,42,12,36,13,18,13,20,19,22,22,41,40,57,18,37,13,43,12,49,12,33,14,19,21,20,19,18,19,16,19,14,17,6.62,7.04,0
202,57,12,43,11,56,17,32,11,53,15,18,20,20,19,21,19,45,45,49,17,48,17,40,11,59,9,54,17,18,19,20,21,19,20,22,19,22,23,7.04,7.56,0
205,68,14,32,11,46,16,42,10,34,14,19,14,18,19,19,19,44,42,66,16,58,16,53,12,52,15,55,14,22,21,20,21,21,18,21,20,22,22,7.0,8.33,0
215,53,15,46,14,40,17,45,12,46,17,19,20,21,20,17,20,43,44,52,18,60,10,45,9,50,13,56,18,22,19,20,20,22,18,22,21,20,21,7.15,8.0,0
234,60,13,53,13,41,15,39,5,34,12,21,19,19,16,22,19,42,45,53,13,45,8,50,11,47,9,47,9,17,14,19,15,22,18,19,15,20,20,0.0,6.89,0
235,74,13,39,11,59,10,50,14,41,13,22,20,20,18,20,14,40,44,52,11,52,11,56,14,50,10,50,10,18,16,20,16,20,19,21,17,20,20,7.69,7.56,0
236,51,12,67,6,37,8,36,9,51,12,17,18,18,17,20,16,38,34,48,11,49,12,51,13,45,9,51,13,17,16,19,15,19,18,22,19,19,19,6.73,6.96,0
263,56,14,46,15,37,15,37,13,49,12,24,21,21,19,24,18,46,38,58,16,52,12,51,11,51,11,60,17,22,19,23,18,23,18,23,22,20,20,7.46,8.15,0
273,69,14,38,12,41,10,32,9,19,7,21,17,22,20,24,17,45,44,55,16,51,13,57,17,48,11,52,14,20,18,22,18,23,22,23,20,21,21,0.0,7.81,0
283,52,14,44,10,39,13,32,12,37,10,23,18,22,17,22,15,41,39,51,13,49,12,54,15,54,15,48,11,22,19,20,19,21,20,19,16,21,21,6.38,7.41,0
302,46,15,33,10,61,15,50,11,32,10,24,20,24,17,19,10,43,38,49,11,50,12,53,14,55,15,46,9,23,19,22,20,23,20,23,18,21,21,6.81,7.67,0
308,64,17,33,12,33,12,35,8,28,10,22,18,22,17,19,19,42,40,48,12,47,11,54,16,47,11,53,15,20,17,22,18,21,21,22,20,21,21,6.54,7.44,0
321,50,11,45,8,44,15,40,9,48,15,23,19,20,16,20,20,48,48,47,9,48,10,45,8,54,14,50,11,22,17,23,20,20,15,23,18,23,23,6.38,7.07,0
