, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
2,18,8,42,11,47,18,34,12,44,16,23,23,23,22,21,24,42,48,40,18,42,12,36,14,35,12,32,14,21,21,23,21,20,18,23,21,23,19,0.0,6.46,2
4,55,11,57,13,46,13,42,10,32,14,20,20,21,21,23,22,42,48,45,15,39,11,20,12,35,13,34,8,19,23,21,18,22,17,21,19,22,18,7.12,0.0,2
25,34,10,42,13,37,18,32,13,42,12,23,21,23,23,23,23,43,46,51,15,54,16,53,17,40,19,35,15,22,23,19,19,22,19,20,20,23,20,6.23,7.73,2
33,45,13,7,8,43,15,33,10,39,13,22,19,23,22,23,24,42,38,52,18,46,18,42,15,49,16,41,18,22,19,21,21,23,19,18,20,20,21,0.0,7.54,2
52,38,10,33,11,44,15,41,14,42,12,20,19,21,22,20,22,40,39,54,16,51,16,45,18,57,20,60,19,20,21,21,21,21,19,15,21,18,18,6.15,8.29,2
54,46,9,38,8,37,14,32,12,46,11,20,19,18,20,18,18,38,46,49,13,47,11,39,9,45,15,46,14,15,18,22,22,14,14,16,20,19,21,6.15,6.89,2
56,55,9,45,10,41,11,45,11,46,10,17,20,15,21,14,15,37,37,36,12,42,13,45,11,35,11,53,12,16,17,21,19,15,15,13,19,17,10,6.5,6.06,2
57,32,8,45,15,36,14,33,15,32,11,21,24,22,22,23,17,47,45,34,18,45,12,55,12,48,12,53,15,22,19,22,20,21,20,21,22,20,20,6.08,7.43,2
61,18,1,32,14,32,16,20,7,32,8,23,21,20,20,21,19,41,44,53,18,38,11,48,14,44,11,43,15,21,19,20,19,17,16,20,20,18,17,0.0,7.0,2
72,38,10,43,16,48,20,44,16,39,13,23,21,21,22,22,16,45,47,41,15,54,16,60,15,53,17,51,20,22,21,19,19,20,20,22,23,20,21,6.85,8.19,2
80,35,9,35,11,41,15,34,9,41,9,21,16,21,21,21,22,39,44,41,9,47,10,34,14,20,8,42,17,19,21,20,20,21,16,20,21,22,20,5.85,0.0,2
84,45,9,32,8,39,12,32,7,32,9,16,16,18,22,20,15,40,46,47,14,42,8,55,9,32,10,40,17,19,19,20,20,20,15,20,22,20,19,5.65,6.7,2
86,46,11,40,10,48,12,33,14,43,12,19,22,20,21,20,20,36,36,36,17,55,10,53,10,40,11,52,14,18,21,22,22,19,15,20,22,20,20,6.62,7.11,2
96,32,8,32,8,32,10,33,11,32,7,14,22,18,21,18,22,43,47,32,10,40,12,56,15,50,12,60,19,18,21,21,21,21,16,22,22,18,19,5.04,7.11,2
100,36,10,40,11,42,15,45,16,42,17,20,21,20,21,22,19,46,46,40,16,52,13,56,12,46,15,60,18,22,21,20,20,20,20,21,21,20,19,6.73,7.7,2
105,26,8,38,13,46,15,33,9,41,18,22,21,20,22,23,24,47,45,44,11,51,13,57,15,57,11,47,18,22,25,20,19,21,20,20,23,21,16,6.23,7.44,2
106,35,10,18,9,38,9,32,10,32,9,14,14,19,20,23,23,44,42,32,9,47,9,60,13,52,9,45,14,21,23,19,19,19,16,22,22,19,18,0.0,6.7,2
108,32,12,36,13,32,12,32,13,35,12,20,21,21,20,22,23,46,45,33,12,38,11,43,11,49,13,50,18,22,20,20,20,21,17,21,22,18,17,5.62,6.67,2
109,45,12,23,8,32,10,34,10,33,11,14,16,19,21,20,22,43,45,44,12,47,6,50,14,56,13,42,11,21,24,18,18,18,17,21,22,17,17,0.0,6.81,2
111,20,10,32,9,38,13,32,9,32,8,16,21,21,20,20,23,45,48,36,13,47,9,50,13,47,12,41,19,21,23,20,20,20,20,22,20,18,19,0.0,6.85,2
114,37,10,25,10,32,11,33,14,33,9,17,19,20,21,23,20,43,46,36,11,42,13,56,12,52,10,50,17,22,19,20,19,20,19,23,22,18,17,0.0,6.93,2
119,32,13,32,10,36,12,38,9,32,15,17,14,20,17,19,19,35,37,46,15,48,9,33,7,51,11,44,13,17,16,16,21,19,18,20,21,13,14,5.42,6.47,2
139,33,4,51,10,43,11,42,8,17,14,21,16,15,16,22,22,42,40,52,14,32,12,39,8,43,9,49,14,19,19,20,19,20,18,20,22,17,20,0.0,6.52,2
148,37,12,49,16,61,14,51,11,40,15,20,21,20,20,23,19,48,42,19,16,48,13,40,9,53,18,60,17,22,18,21,19,22,18,22,17,20,22,7.35,7.59,2
149,41,16,39,12,40,12,32,8,34,14,23,20,15,16,24,22,43,41,51,15,41,13,35,4,49,11,41,11,21,21,15,17,20,18,19,17,15,21,6.19,0.0,2
156,26,9,47,8,44,8,36,8,43,12,16,20,15,16,23,22,38,35,34,11,43,10,32,6,43,9,50,9,20,19,18,20,19,18,23,17,19,20,5.73,6.19,2
157,32,12,45,8,54,10,32,8,34,11,17,19,15,17,21,22,34,39,42,14,35,11,32,3,42,11,54,11,20,17,16,18,17,18,20,15,12,16,5.73,0.0,2
162,22,11,43,12,37,15,59,12,32,15,17,19,20,20,21,17,37,33,68,18,52,16,49,12,63,11,62,16,22,19,19,17,20,20,21,20,14,14,0.0,8.3,2
166,33,10,47,9,56,15,39,12,40,11,18,20,19,20,22,18,41,40,43,14,45,13,46,11,43,16,58,14,22,19,20,20,23,21,21,15,17,19,6.62,6.96,2
169,22,7,32,11,48,8,33,10,40,15,16,16,18,19,21,18,36,31,51,13,48,10,32,8,47,13,67,16,21,18,17,19,19,20,21,16,18,16,0.0,7.07,2
178,20,10,35,10,32,15,56,11,23,13,21,21,20,19,22,21,47,44,45,16,62,13,42,11,59,14,47,17,21,15,20,19,20,19,22,23,20,17,0.0,7.67,2
191,34,12,39,11,43,15,51,13,47,12,19,18,21,20,20,20,43,34,60,16,41,16,40,11,32,13,52,17,19,18,20,21,19,21,18,20,18,23,6.58,7.33,2
192,45,11,52,11,52,17,49,9,41,13,14,17,16,22,14,12,25,35,46,12,40,13,39,10,44,16,59,17,17,19,19,20,16,22,19,20,18,18,6.54,7.0,2
193,32,9,36,11,39,17,54,12,43,15,19,18,20,19,21,19,42,44,61,16,45,19,35,10,48,15,55,18,21,18,21,22,20,21,22,22,22,21,6.27,7.85,2
194,32,9,42,13,40,15,55,14,26,8,18,20,22,20,19,21,40,47,32,11,42,11,34,8,38,9,42,10,17,20,19,20,17,19,18,18,17,20,6.19,5.67,2
197,52,4,44,6,48,11,33,6,44,13,15,20,15,17,15,16,31,36,45,10,41,8,35,7,51,8,45,9,13,17,16,17,15,20,19,19,19,19,5.92,6.04,2
201,32,9,64,10,41,13,35,4,48,13,17,19,15,15,19,19,43,45,36,10,35,15,45,12,52,12,55,16,16,17,19,21,20,22,21,20,21,22,0.0,7.04,2
211,32,9,45,4,41,15,43,9,40,16,22,22,18,19,18,19,40,45,60,19,63,11,51,12,55,12,62,19,21,20,20,20,20,20,22,23,22,21,0.0,8.63,2
214,37,16,33,11,34,15,32,12,22,13,19,13,21,17,16,19,46,36,66,15,51,11,42,9,48,17,47,15,19,19,18,20,19,19,21,19,21,20,0.0,7.96,2
218,18,8,41,10,33,13,37,14,37,14,18,13,23,22,21,16,39,38,32,12,62,8,42,8,42,9,54,12,22,17,18,19,20,18,22,20,20,12,0.0,6.59,2
220,17,12,21,12,32,15,42,13,18,15,21,14,22,20,20,20,44,37,36,16,58,16,48,12,55,15,61,15,23,21,17,20,21,18,19,21,18,0,0.0,7.81,2
223,18,8,35,12,39,12,51,13,44,16,18,13,22,20,16,21,40,37,44,14,58,13,37,13,58,10,63,17,21,17,17,18,20,20,22,22,21,20,0.0,7.81,2
225,32,8,39,8,53,10,25,8,40,10,18,18,18,16,18,18,44,46,47,12,41,8,43,9,46,11,43,9,19,15,17,15,21,16,23,17,19,19,5.81,6.37,2
231,32,12,32,9,44,9,20,8,32,8,18,18,18,17,22,14,40,40,43,11,52,17,40,9,38,8,50,16,17,19,20,15,20,16,20,20,19,19,0.0,6.59,2
238,40,9,36,9,56,13,32,8,40,9,20,20,18,19,22,20,40,44,50,13,45,10,47,11,50,13,45,10,16,14,20,18,19,16,21,17,19,19,6.04,6.89,2
250,49,14,22,8,39,10,22,8,32,11,22,18,20,18,23,17,35,42,41,9,48,14,41,9,39,8,45,12,22,20,21,16,22,17,22,19,20,20,0.0,6.78,2
253,46,13,32,11,39,8,33,11,34,12,24,19,22,18,24,14,37,44,52,15,47,12,44,10,46,11,52,15,20,18,21,17,22,17,24,21,19,19,8.81,7.04,2
268,36,15,43,12,50,13,32,9,32,7,16,18,18,18,18,10,39,34,43,10,43,10,46,12,42,9,42,9,17,15,19,15,19,17,18,15,18,18,5.81,6.33,2
291,32,10,37,8,38,10,54,9,37,10,23,18,21,17,21,10,39,36,49,13,52,15,49,13,50,14,43,9,23,21,19,18,20,18,21,16,22,22,5.85,7.33,2
306,39,12,32,9,68,19,39,14,32,14,23,18,22,16,24,24,45,47,45,8,50,11,50,11,48,10,50,11,22,18,18,15,22,18,22,18,20,20,6.88,7.32,2
317,40,11,20,8,34,8,40,5,33,14,24,20,20,18,20,17,48,48,47,12,43,9,53,16,41,8,49,13,17,14,17,14,18,19,20,18,19,19,0.0,6.63,2
320,32,9,48,9,43,11,40,11,32,9,20,18,20,17,18,16,38,43,49,13,50,14,53,16,50,14,46,11,21,19,21,19,19,20,22,18,19,19,5.85,7.41,2
