, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
290,80,19,59,16,60,14,70,18,57,14,23,20,24,21,24,16,41,46,61,13,58,11,68,18,64,15,64,15,23,18,23,21,23,23,23,21,23,23,9.23,8.89,1
292,70,18,69,14,72,20,66,19,56,14,23,21,22,20,23,15,48,45,66,16,71,19,66,16,72,20,69,18,22,23,22,24,23,22,22,22,24,24,9.65,10.0,1
293,72,20,66,17,72,19,75,20,68,20,23,21,24,23,24,24,48,48,75,19,76,20,76,20,76,20,73,18,23,24,23,24,23,24,20,20,24,24,10.0,10.0,1
294,63,18,68,12,55,14,60,16,59,16,24,22,22,22,22,24,47,48,62,14,71,20,68,18,67,17,67,17,23,24,22,22,22,22,21,21,23,23,9.23,9.91,1
298,66,15,63,12,75,16,73,12,57,15,24,22,24,18,24,20,48,47,59,11,63,14,63,14,71,19,65,15,23,20,22,23,23,20,23,21,24,24,9.54,9.33,1
300,74,20,75,17,74,19,68,19,68,19,24,23,24,22,24,24,45,48,76,20,76,20,76,20,76,20,70,16,23,24,22,24,23,24,23,22,24,24,10.0,10.0,1
303,73,19,66,13,57,19,56,14,64,16,24,22,23,18,24,18,48,48,70,19,71,20,67,17,71,20,53,8,23,24,23,24,23,22,22,16,24,24,9.38,9.52,1
304,71,20,72,17,76,20,62,19,65,19,24,23,24,21,24,24,46,48,75,20,75,20,75,20,75,20,75,20,23,24,23,24,23,24,23,24,24,24,10.0,10.0,1
309,69,20,73,17,54,18,70,18,52,13,24,22,24,22,24,23,44,48,71,19,72,20,71,19,68,17,68,17,23,24,23,22,23,23,23,22,23,23,9.23,10.0,1
311,67,19,60,15,75,20,65,20,59,15,24,22,24,22,24,23,47,46,64,14,70,18,70,18,73,20,67,16,23,23,23,24,23,23,23,22,23,23,9.54,9.81,1
312,70,19,56,17,68,19,66,18,54,18,24,23,21,20,24,19,47,47,63,14,69,18,66,16,72,20,69,18,23,23,23,24,23,22,23,23,23,23,9.38,9.81,1
314,65,17,65,16,71,19,56,16,65,17,23,23,19,19,22,24,46,48,69,18,65,15,60,12,72,20,71,19,23,21,23,24,23,19,23,23,24,24,9.65,9.8,1
316,61,17,68,13,73,17,68,17,65,15,23,21,22,18,23,20,46,46,63,14,71,19,72,20,68,17,68,17,21,22,22,22,23,24,23,22,22,22,9.81,9.81,1
