, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
65,73,17,65,11,67,20,55,19,66,19,19,24,22,22,22,23,45,48,76,16,62,19,65,19,59,20,59,20,21,24,21,21,18,20,22,21,17,23,9.54,9.77,1
71,80,19,67,17,70,20,64,20,69,17,23,24,23,23,24,24,45,45,77,20,65,19,64,19,67,19,64,20,24,22,20,19,23,22,24,24,23,22,10.0,10.0,1
115,62,18,66,17,65,20,64,18,69,20,24,22,24,23,24,24,48,48,68,20,73,20,63,17,63,19,64,20,24,24,24,24,24,23,24,24,23,24,10.0,10.0,1
123,80,18,68,17,59,18,62,15,66,20,21,22,23,22,24,24,41,40,75,18,69,18,53,18,69,15,52,16,21,21,21,22,22,23,23,24,19,23,9.69,9.26,1
128,69,17,70,14,57,19,61,13,67,20,19,20,21,22,24,24,47,47,76,20,66,18,67,15,51,18,58,20,23,20,24,23,24,22,23,24,20,23,9.5,9.41,1
129,73,17,61,15,66,16,66,11,65,19,20,21,20,19,22,22,44,42,76,19,67,16,61,13,69,15,60,17,23,21,20,19,23,19,22,20,18,22,9.65,9.52,1
134,77,18,70,12,69,20,68,13,57,17,21,22,22,21,24,24,41,42,78,19,70,17,55,16,66,17,68,19,22,21,23,21,24,22,24,24,20,23,9.69,9.7,1
142,68,18,73,16,51,20,68,17,62,17,22,21,24,21,24,23,46,41,77,20,71,15,72,12,65,17,68,18,22,22,20,19,21,20,24,24,19,21,9.54,9.96,1
144,72,19,65,16,71,16,67,12,55,18,21,20,20,21,24,23,46,46,80,19,68,19,64,12,64,18,67,14,23,21,20,21,21,22,24,24,22,21,9.54,9.85,1
146,58,16,66,15,72,16,53,15,49,18,21,20,23,22,24,21,44,45,73,19,62,19,69,12,71,15,62,19,23,23,22,23,23,22,24,23,19,21,8.69,10.0,1
150,64,15,74,15,68,18,68,10,47,20,21,21,16,19,23,20,45,45,78,19,66,14,58,14,59,17,65,15,23,21,22,20,22,20,19,17,21,21,9.12,9.48,1
173,63,18,70,15,67,20,54,12,53,20,22,22,21,23,24,24,47,44,72,19,57,18,59,14,66,16,71,19,24,20,23,22,20,23,21,23,20,20,9.23,9.56,1
179,77,19,69,16,75,19,70,12,59,17,24,21,21,20,21,20,45,43,73,20,70,16,43,12,62,14,62,16,21,20,21,21,20,19,22,22,21,21,9.85,9.07,1
180,75,19,74,17,76,19,60,11,50,17,21,21,20,20,20,19,43,44,73,20,68,15,60,11,59,16,56,18,20,18,19,20,19,20,21,21,18,17,9.19,9.0,1
182,67,16,56,16,67,18,63,14,61,19,24,22,21,20,23,22,47,46,66,19,63,17,67,15,62,16,67,17,20,21,22,22,20,23,22,22,21,22,9.54,9.85,1
185,64,17,76,14,70,20,67,16,55,16,19,21,24,23,23,17,46,43,78,20,68,19,62,15,67,19,61,20,24,23,23,23,20,21,22,22,19,18,9.69,9.7,1
199,67,18,63,17,74,18,62,14,52,14,18,21,22,20,20,23,45,45,80,20,54,17,59,12,65,13,61,16,18,20,18,19,19,20,21,15,20,22,9.35,8.89,1
219,62,20,64,17,71,20,55,16,68,18,23,22,24,22,22,19,46,46,71,19,72,17,66,14,54,14,66,20,22,22,21,21,21,18,22,20,22,20,9.69,9.52,1
226,60,19,72,15,67,17,63,16,52,16,24,23,24,23,24,20,48,45,66,16,71,19,72,20,72,20,65,15,23,23,23,24,23,24,23,21,24,24,9.19,10.0,1
227,78,20,70,18,79,18,73,20,70,20,21,21,21,23,21,21,41,42,71,17,74,19,69,16,72,18,69,16,20,22,20,21,20,20,22,21,19,19,10.0,9.93,1
230,62,17,68,15,75,19,65,18,63,18,23,20,24,22,24,18,47,44,73,20,73,20,69,17,73,20,70,18,23,24,23,24,23,22,24,23,24,24,9.81,10.0,1
239,70,20,64,16,67,17,66,16,57,16,22,18,22,18,23,21,42,47,71,20,64,15,58,11,58,11,56,10,20,19,22,18,22,18,22,17,20,20,9.69,8.44,1
240,61,16,59,14,72,17,59,16,46,14,23,20,23,19,24,20,48,45,69,19,61,14,67,18,70,20,58,12,23,20,23,24,23,23,21,18,24,24,8.88,9.52,1
241,80,20,71,17,71,19,65,18,61,20,24,23,23,22,24,23,48,48,75,20,74,19,75,20,75,20,71,17,23,23,23,24,23,24,24,23,24,24,10.0,10.0,1
242,74,19,64,16,73,16,66,18,66,16,22,18,23,20,24,22,48,48,68,16,74,20,74,20,73,19,68,16,23,24,23,23,23,24,24,22,23,23,10.0,10.0,1
243,62,17,66,15,67,16,55,15,70,18,22,18,23,21,24,24,49,48,60,12,72,20,71,19,65,15,71,19,22,24,23,21,23,23,24,24,23,23,9.5,9.63,1
244,80,20,69,18,72,19,72,19,70,18,24,20,24,21,23,19,40,44,74,19,75,20,75,20,75,20,72,18,23,24,22,24,23,24,24,23,22,22,10.0,10.0,1
245,73,20,67,11,72,15,69,15,58,16,24,20,23,21,23,19,42,44,65,15,69,18,71,19,62,13,66,16,23,23,21,19,23,23,24,22,21,21,9.54,9.85,1
246,71,20,69,17,77,14,70,16,64,18,24,20,22,22,23,15,42,46,73,20,60,11,69,17,60,11,55,8,22,18,23,18,23,22,22,16,21,21,9.96,8.93,1
247,68,18,69,16,79,17,62,15,62,15,24,21,20,19,23,20,41,48,68,17,69,18,69,18,66,16,68,17,22,22,22,21,22,22,22,22,24,24,9.65,10.0,1
255,66,17,69,12,74,13,65,14,49,12,23,19,22,20,23,13,42,38,65,17,69,20,66,18,59,13,60,14,22,24,23,20,23,23,22,20,21,21,9.31,9.41,1
256,53,15,70,16,63,14,64,17,45,16,21,23,20,20,21,23,41,48,68,19,68,19,65,17,63,16,66,18,22,23,23,22,22,22,21,22,20,20,8.81,9.85,1
258,61,17,61,17,70,17,53,13,51,19,24,21,23,32,24,23,47,48,61,13,70,19,68,18,68,18,65,16,22,23,23,23,23,23,23,22,24,24,8.88,9.73,1
260,76,18,69,16,67,14,59,16,61,20,24,21,20,19,23,17,42,48,72,20,72,20,71,19,71,19,60,12,22,24,22,23,23,23,22,19,22,22,9.81,9.7,1
262,80,20,78,19,78,19,68,19,65,20,24,23,22,23,24,20,49,46,76,20,66,13,75,19,76,20,73,18,23,20,23,24,23,23,24,23,23,23,10.0,9.85,1
267,66,14,61,11,71,18,60,11,59,15,18,20,19,21,21,24,44,46,58,12,70,20,66,17,66,17,66,17,20,23,20,21,23,22,23,22,21,21,9.04,9.63,1
271,67,18,59,12,71,18,57,17,59,15,24,20,22,22,23,21,47,47,71,20,70,19,70,19,68,18,68,18,22,23,22,22,23,23,22,22,21,21,9.08,10.0,1
281,75,19,58,16,68,20,54,13,54,16,23,21,24,20,24,21,44,44,70,19,71,20,70,19,67,17,67,17,22,24,23,22,23,23,23,22,23,23,8.92,10.0,1
282,79,18,69,13,66,17,69,18,61,16,23,18,23,23,23,24,41,48,70,18,69,17,61,12,73,20,67,16,23,22,23,24,23,19,23,22,23,23,9.85,9.7,1
284,66,19,57,15,62,17,59,16,50,13,23,19,23,20,24,17,48,48,66,17,70,20,66,17,64,16,69,19,23,24,22,21,23,22,21,22,22,22,8.92,10.0,1
285,65,20,72,14,71,13,68,13,39,11,24,21,22,20,22,23,43,44,54,9,63,15,67,18,66,17,52,8,22,20,21,21,22,22,18,14,21,21,9.38,8.84,1
288,76,20,70,18,73,18,68,19,62,19,24,23,22,21,22,24,49,49,71,17,71,17,74,19,75,20,72,18,23,22,23,24,23,23,23,23,23,23,10.0,10.0,1
289,68,19,75,19,59,19,69,18,68,19,23,22,24,23,24,24,48,49,69,16,75,20,74,19,75,20,74,19,23,24,23,24,23,23,23,23,24,24,9.85,10.0,1
