, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,22.4,7.766666666666667,23.433333333333334,8.8,30.866666666666667,11.066666666666666,27.0,9.133333333333333,26.4,10.233333333333333,17.066666666666666,16.5,18.233333333333334,17.6,18.1,15.3,38.0,38.9,35.833333333333336,10.0,39.5,10.666666666666666,31.433333333333334,9.1,35.4,10.633333333333333,39.56666666666667,12.933333333333334,18.2,16.533333333333335,17.866666666666667,17.1,18.4,17.533333333333335,19.833333333333332,19.0,17.066666666666666,15.666666666666666,0.368,3.265333333333333,4.0
std,12.549488243446971,3.1914036835324313,11.273047910631904,3.4180050644622595,10.378137941193343,3.279332704759575,10.251997282279296,2.674700541837487,9.156117231590073,2.712465901051627,4.042305021279007,3.329595605558087,2.4730733822559707,5.203447133292076,3.1332477366640425,6.422750511885934,6.475417707203036,5.915205420981912,13.562329505258136,3.648334527916294,8.673184993474685,2.0057388927143847,10.04020652807684,2.368616648507354,8.700376527722117,2.470283151902776,10.34469156998704,2.545223157120065,3.1117131327758436,5.296279327286626,2.674700541837487,2.758685344069926,2.5134122979149973,1.50248835748162,2.229633236166005,1.8754309849499513,4.067815929559941,5.5107001453494115,1.4081692688221727,3.114940341857823,0.0
min,2.0,0.0,6.0,3.0,5.0,5.0,6.0,3.0,13.0,4.0,11.0,12.0,14.0,0.0,12.0,0.0,25.0,29.0,13.0,4.0,18.0,7.0,9.0,4.0,0.0,5.0,0.0,8.0,11.0,0.0,12.0,12.0,12.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,4.0
25%,13.0,7.0,15.25,6.0,23.0,9.0,19.0,8.0,19.25,9.0,14.0,13.25,16.25,17.0,16.0,13.0,34.25,34.0,26.75,8.0,36.0,9.25,25.25,8.0,32.0,9.0,36.5,11.0,16.25,15.0,17.0,15.25,17.25,17.0,18.0,18.0,16.0,14.0,0.0,0.0,4.0
50%,18.5,8.0,20.5,8.5,32.0,11.0,32.0,9.0,25.5,10.0,17.0,17.0,19.0,19.5,19.0,15.5,38.5,40.0,37.0,10.0,39.5,10.5,32.0,9.0,36.5,11.0,41.0,13.0,19.0,17.0,18.0,17.5,19.0,18.0,20.5,19.0,18.0,17.0,0.0,5.7,4.0
75%,32.0,9.75,32.0,10.0,37.0,12.75,32.0,10.0,32.0,12.75,19.75,19.0,20.0,20.0,20.75,21.0,43.75,44.0,43.75,12.0,44.0,12.75,37.0,11.0,40.0,12.0,43.75,14.0,20.0,19.0,19.0,19.0,20.0,19.0,21.75,20.0,19.75,19.0,0.0,6.1000000000000005,4.0
max,51.0,15.0,53.0,15.0,51.0,18.0,53.0,17.0,55.0,14.0,23.0,23.0,24.0,22.0,23.0,23.0,47.0,47.0,60.0,18.0,60.0,14.0,52.0,13.0,45.0,15.0,54.0,19.0,23.0,24.0,23.0,23.0,23.0,20.0,23.0,22.0,21.0,22.0,6.08,6.78,4.0
