, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
mean,55.333333333333336,12.19047619047619,41.42857142857143,11.793650793650794,44.682539682539684,15.65079365079365,39.095238095238095,11.507936507936508,43.36507936507937,13.857142857142858,20.825396825396826,20.476190476190474,20.317460317460316,20.3015873015873,21.793650793650794,20.50793650793651,42.65079365079365,43.0,56.42857142857143,15.80952380952381,51.82539682539682,13.142857142857142,48.93650793650794,13.476190476190476,51.01587301587302,13.952380952380953,47.666666666666664,14.984126984126984,20.555555555555557,20.38095238095238,20.0,19.761904761904763,20.857142857142858,18.11111111111111,20.428571428571427,20.428571428571427,20.50793650793651,19.873015873015873,6.358730158730159,7.561428571428571,0.0
std,8.728891589835262,2.481266214586772,8.641076481838185,2.8179077697236146,8.325680049382767,2.5599819187789525,8.109560836353923,2.388635836035719,9.83624237737678,2.8446732498860943,2.28980688395249,2.570660407536471,2.0066453857234112,1.7837521221808084,1.761219611873931,2.734917678026371,3.3416179689308616,4.032129030193483,9.093979372612031,2.6265219419454198,8.0573342316572,2.213282067771918,8.665603148736253,3.12046906553167,7.490837550596154,2.4588783925417608,8.831760866327846,3.0873940545597804,1.924190468891652,2.3170376765322676,1.8837162994395398,1.9896043188589334,1.8566110546624814,2.0565482442684355,1.872675210066154,1.9814810827020253,2.313167189702604,2.4658445094744468,2.1402407854163634,1.483174295483646,0.0
min,37.0,9.0,24.0,5.0,27.0,8.0,9.0,5.0,19.0,7.0,15.0,13.0,13.0,16.0,17.0,10.0,32.0,30.0,33.0,9.0,35.0,8.0,24.0,6.0,32.0,9.0,22.0,8.0,16.0,14.0,14.0,15.0,14.0,14.0,14.0,15.0,14.0,14.0,0.0,0.0,0.0
25%,50.0,10.0,35.0,10.0,39.0,14.0,33.0,9.5,35.5,12.0,19.0,19.0,19.5,19.0,21.0,19.5,40.0,40.0,50.5,14.0,47.5,12.0,44.0,11.5,46.0,12.0,42.0,13.0,19.0,19.0,19.0,19.0,20.0,17.0,20.0,19.5,19.0,18.0,6.52,7.42,0.0
50%,54.0,12.0,39.0,11.0,44.0,16.0,39.0,12.0,43.0,14.0,21.0,21.0,20.0,21.0,22.0,21.0,44.0,44.0,57.0,16.0,51.0,13.0,50.0,14.0,51.0,14.0,50.0,15.0,21.0,21.0,20.0,20.0,21.0,18.0,20.0,21.0,21.0,20.0,6.96,7.73,0.0
75%,62.0,14.0,47.0,13.5,50.5,18.0,44.5,13.0,51.5,15.5,22.0,23.0,22.0,22.0,23.0,22.0,45.0,46.0,63.5,18.0,56.0,14.5,54.5,15.0,55.5,16.0,55.0,17.5,22.0,22.0,21.0,21.0,22.0,19.0,22.0,22.0,22.0,22.0,7.4,8.129999999999999,0.0
max,74.0,20.0,67.0,18.0,61.0,20.0,59.0,16.0,63.0,19.0,24.0,24.0,24.0,23.0,24.0,24.0,48.0,48.0,73.0,20.0,70.0,18.0,67.0,20.0,73.0,19.0,63.0,20.0,24.0,24.0,24.0,23.0,24.0,23.0,24.0,24.0,24.0,24.0,8.23,9.1,0.0
