, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
0,77,17,52,18,62,20,53,18,53,17,24,23,24,22,24,24,48,46,73,20,68,18,64,19,60,19,52,18,24,25,24,22,23,22,24,24,23,23,9.08,9.56,3
1,77,19,57,18,68,20,58,18,60,18,23,23,23,22,24,24,44,46,75,19,54,17,58,18,63,19,43,18,19,24,23,23,21,22,23,24,24,23,9.54,9.21,3
5,55,13,51,16,57,19,59,16,61,17,21,20,22,22,23,20,44,46,56,15,61,19,57,16,60,20,52,15,23,10,22,20,23,20,21,20,22,20,8.5,8.89,3
6,76,18,69,18,52,20,56,20,57,16,23,20,23,22,23,23,42,46,75,20,72,19,59,17,58,20,57,18,24,21,21,18,23,20,21,21,22,17,9.23,9.54,3
7,73,11,66,13,53,17,60,18,50,17,23,22,23,22,23,22,41,46,70,19,73,18,58,16,63,18,55,16,23,21,21,18,20,17,21,21,22,19,8.92,9.3,3
8,67,17,60,19,51,20,37,16,51,19,23,22,22,22,24,22,46,48,68,16,63,19,40,19,54,19,43,16,24,21,20,20,23,22,23,21,22,18,8.62,8.62,3
11,69,15,54,13,57,19,46,18,53,17,23,22,23,22,23,19,40,33,67,14,73,18,53,18,53,17,45,17,18,19,21,18,22,17,22,21,22,18,8.46,8.81,3
12,67,16,52,13,53,15,52,17,59,17,21,20,23,22,24,24,42,47,58,18,57,15,55,17,62,16,49,16,20,21,22,18,21,19,21,21,23,21,8.46,8.73,3
14,65,13,47,14,34,16,55,10,48,15,21,20,21,22,24,21,37,42,71,11,66,11,62,14,63,16,49,15,17,17,17,16,22,21,21,21,21,14,7.73,8.95,3
17,71,17,49,9,51,18,41,12,58,11,21,23,22,21,23,22,40,47,70,18,68,17,72,16,62,16,58,12,21,21,23,23,20,20,19,20,20,24,7.85,9.52,3
18,55,9,53,17,65,20,53,12,59,20,20,22,19,21,22,24,40,45,59,19,65,16,56,18,60,20,53,13,17,24,20,20,23,20,22,20,20,21,8.5,9.17,3
19,58,11,52,8,57,19,49,13,53,14,19,20,23,22,23,22,40,45,73,19,66,18,66,20,63,20,55,19,22,23,21,20,23,21,20,21,20,18,7.85,9.63,3
22,64,19,51,19,49,19,52,19,54,18,23,22,20,23,24,24,45,46,69,20,63,18,63,19,65,20,62,19,23,21,21,22,22,19,20,22,23,21,8.62,10.0,3
28,62,17,58,14,54,19,62,16,53,15,21,18,20,21,21,23,39,43,71,20,60,16,59,16,61,20,50,16,17,21,18,18,18,18,14,19,20,19,8.54,9.03,3
29,62,16,47,16,61,18,50,17,56,17,19,21,20,22,20,20,42,43,75,19,67,17,64,17,59,19,62,19,18,23,20,20,18,17,14,19,18,19,8.42,9.54,3
30,67,14,48,13,39,20,55,16,42,17,23,21,23,23,23,21,40,47,53,18,60,18,63,18,63,19,62,19,20,24,20,21,23,20,18,20,21,20,8.0,9.54,3
32,74,15,59,16,56,19,44,18,62,16,23,21,23,23,23,24,43,45,74,19,63,18,57,18,57,18,45,18,21,21,19,17,23,18,18,19,24,23,9.08,9.19,3
35,76,16,58,13,64,17,55,15,68,16,23,22,23,21,22,24,39,45,77,20,72,16,62,17,61,18,50,13,21,21,20,20,23,20,20,21,23,21,9.38,9.19,3
40,68,14,45,16,61,19,63,18,56,18,23,23,21,22,23,23,46,45,73,20,63,17,53,15,60,20,48,17,23,21,18,17,22,19,19,20,22,22,9.23,9.0,3
42,59,13,40,9,55,15,46,14,54,15,17,21,19,21,16,22,40,45,73,17,62,15,64,12,62,16,59,16,21,21,22,22,16,15,16,19,20,21,7.54,9.15,3
