, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
46,68,18,68,18,55,19,50,18,68,17,22,20,23,23,23,23,42,44,75,19,62,19,61,17,59,20,55,17,23,23,18,18,21,21,20,19,22,21,9.23,9.37,3
50,61,14,54,10,54,19,55,11,66,20,18,18,16,22,19,22,39,43,72,20,61,19,59,16,59,18,61,18,22,19,23,18,18,15,18,19,20,23,8.46,9.3,3
53,62,13,63,13,60,18,45,16,62,19,23,22,23,22,21,23,42,44,76,20,60,18,65,20,62,19,60,19,22,23,20,20,23,19,19,21,22,22,9.04,9.7,3
55,73,14,59,18,45,19,69,17,64,17,20,21,21,23,23,23,45,48,68,16,66,18,64,18,56,20,58,18,22,23,14,16,22,20,15,22,20,20,9.38,9.73,3
58,73,13,61,11,50,18,44,16,49,14,19,23,21,21,21,20,47,45,51,16,58,13,61,15,60,14,58,18,20,20,20,20,18,17,20,21,16,20,8.31,8.43,3
59,68,12,56,12,45,13,51,17,56,14,22,23,22,21,22,21,44,44,72,17,55,11,52,14,55,17,60,17,22,24,19,18,20,20,22,20,16,18,8.15,8.44,3
60,76,14,56,14,48,16,53,14,62,18,23,21,22,21,22,22,46,47,60,19,59,11,61,15,61,13,55,17,20,23,21,19,19,20,21,21,18,19,8.77,8.52,3
67,78,18,55,20,50,19,45,17,64,20,24,24,20,22,23,23,44,48,65,17,52,13,64,15,60,17,61,20,23,22,20,20,21,19,20,21,22,21,8.92,9.36,3
75,73,15,54,19,56,19,51,17,63,15,24,23,23,22,22,22,46,40,57,19,70,14,67,17,65,18,57,20,22,20,20,19,20,17,21,22,18,16,8.92,9.37,3
76,75,17,54,14,56,18,43,14,62,13,20,19,22,22,21,20,42,38,67,18,56,12,67,16,60,17,61,17,22,23,20,20,21,18,21,23,18,15,8.42,8.96,3
77,69,16,41,17,56,20,44,14,63,17,23,23,21,22,22,24,44,47,68,18,60,15,58,16,64,18,59,20,23,25,18,19,21,16,23,23,19,23,8.62,9.33,3
81,70,13,54,19,61,20,51,19,63,14,24,24,23,22,24,23,44,46,64,20,62,17,67,18,59,17,65,20,22,21,19,21,22,17,22,23,19,22,9.23,9.67,3
82,63,17,60,17,65,20,55,17,58,16,24,23,20,20,24,22,47,47,77,20,62,16,71,19,52,11,65,20,21,22,19,21,21,18,22,24,22,23,9.23,9.37,3
87,64,15,57,16,66,19,50,17,52,16,24,24,22,23,21,22,43,44,63,18,73,16,66,18,67,17,58,20,22,21,19,19,23,18,21,22,20,19,8.58,9.78,3
88,69,13,46,15,60,16,41,13,47,11,23,22,20,21,22,19,44,44,66,20,65,14,63,14,57,12,53,17,21,21,23,21,22,15,20,21,21,21,8.15,8.85,3
90,75,15,45,13,71,18,55,12,54,16,22,21,21,22,22,21,42,43,68,18,73,14,62,12,59,12,57,16,20,23,20,19,22,16,21,20,19,18,8.62,8.93,3
93,70,15,53,13,62,19,41,12,56,15,23,23,18,22,20,22,41,45,60,19,69,14,63,18,60,18,66,20,20,23,19,18,21,20,22,23,19,21,8.62,9.63,3
97,69,18,52,19,58,18,40,16,64,19,24,23,19,23,23,24,45,47,73,18,48,14,52,19,47,13,54,19,23,21,20,20,22,20,23,23,23,20,8.92,8.52,3
116,35,12,56,13,62,16,65,13,60,16,20,21,20,21,22,22,45,40,70,16,74,16,70,11,70,16,58,18,22,23,20,22,22,18,24,23,21,21,8.12,9.85,3
120,56,15,55,17,71,19,53,13,51,20,19,19,20,22,24,22,41,40,80,19,70,20,55,12,64,17,61,18,24,23,21,22,23,23,23,22,18,23,8.5,9.41,3
125,64,15,64,14,71,13,53,13,58,14,20,20,20,21,23,21,43,40,79,18,62,17,62,10,62,14,57,15,19,22,21,21,22,20,21,22,19,22,8.88,9.11,3
126,68,17,61,14,68,20,52,13,68,18,24,22,20,20,24,24,47,47,73,20,57,16,47,9,47,17,47,17,20,22,24,24,20,18,24,20,22,22,9.38,8.19,3
127,55,17,72,15,58,16,52,15,51,17,20,20,22,21,23,20,44,39,74,18,68,15,53,10,66,16,62,14,22,21,20,22,22,20,22,22,21,17,8.38,9.33,3
130,64,18,54,14,52,17,48,12,67,17,20,21,20,22,24,18,48,42,77,17,72,17,63,11,63,18,61,15,24,21,21,20,24,20,22,20,22,23,8.62,9.56,3
132,68,19,55,17,59,16,55,13,48,18,24,22,22,22,24,24,45,40,74,20,67,17,59,14,68,18,58,14,24,23,24,23,24,22,23,21,22,22,8.62,9.41,3
133,59,13,46,8,51,14,49,13,47,19,21,22,19,20,22,20,43,38,73,17,62,17,64,12,61,15,59,15,21,19,18,16,24,19,23,23,19,20,7.58,9.07,3
143,76,14,63,13,70,19,63,11,46,15,19,18,20,19,24,21,38,39,63,19,62,14,50,11,59,16,60,14,21,22,20,20,21,21,24,24,16,20,8.88,8.81,3
145,68,14,50,13,49,18,43,11,49,20,21,20,20,18,24,24,48,42,72,20,55,19,41,9,56,18,58,18,24,21,24,24,22,23,24,22,22,22,7.96,8.67,3
147,77,19,73,19,71,17,61,17,54,17,22,21,24,23,23,21,44,42,71,18,48,14,39,9,59,13,62,16,23,18,17,19,21,19,21,22,22,21,9.54,8.3,3
151,59,19,32,15,60,18,65,11,51,16,22,21,19,19,23,21,45,41,71,19,54,15,54,12,53,14,68,15,22,22,20,18,21,19,21,16,20,17,8.23,8.41,3
196,71,12,63,9,78,17,53,15,58,16,19,22,23,21,20,23,44,44,55,18,68,16,51,11,60,15,63,14,20,22,20,18,20,19,19,19,20,22,8.92,8.78,3
204,69,12,63,10,55,20,57,9,63,14,19,18,18,19,22,21,44,41,69,17,50,14,52,10,53,14,53,13,22,21,21,21,21,19,21,20,18,22,8.77,8.32,3
210,48,15,50,9,55,15,47,12,63,14,18,16,20,20,20,19,40,45,68,20,75,17,52,16,64,17,64,17,23,21,22,21,23,20,22,21,23,22,7.58,9.56,3
229,60,13,64,14,56,11,59,11,54,16,21,18,19,18,23,23,45,40,62,16,64,17,65,18,68,20,67,19,20,21,23,24,23,23,21,22,22,22,8.27,9.81,3
232,73,17,58,11,60,14,56,16,42,19,22,18,20,17,23,18,43,44,56,12,65,18,55,11,56,12,61,15,20,21,22,19,22,18,22,20,20,20,8.38,8.41,3
233,60,14,50,10,48,9,53,16,45,15,21,20,20,19,22,20,45,46,60,16,65,19,56,13,60,16,59,15,19,21,20,20,22,19,23,21,19,19,7.58,8.85,3
254,64,16,66,15,66,18,55,13,53,19,24,21,20,21,24,23,44,42,64,16,70,20,58,12,57,11,67,18,20,23,23,18,23,19,24,23,23,23,9.23,9.26,3
257,66,19,56,10,56,13,65,10,52,11,24,19,21,18,23,17,37,38,67,20,60,15,64,18,52,10,67,20,21,20,22,17,23,23,22,24,20,20,8.35,9.37,3
269,67,19,45,17,72,18,34,12,57,15,24,22,22,22,24,23,49,46,66,18,68,19,63,16,65,17,54,10,23,23,23,22,23,22,23,18,23,23,8.46,9.41,3
272,70,18,67,12,53,13,50,17,47,15,24,21,23,21,24,19,46,48,62,15,68,19,63,16,65,17,62,15,21,22,23,22,22,21,22,20,22,22,8.46,9.52,3
275,55,16,58,13,50,16,61,9,64,16,17,20,16,16,24,15,42,46,64,18,52,10,60,15,66,19,67,20,19,16,20,22,21,20,21,23,21,21,8.31,9.33,3
278,65,17,64,15,57,17,62,16,41,12,24,22,22,22,23,21,44,45,62,15,69,20,59,13,65,17,56,11,23,24,23,22,23,20,23,18,23,23,8.77,9.07,3
295,71,17,61,11,54,15,50,10,57,19,20,19,21,22,22,22,47,47,63,16,60,14,56,11,68,19,63,16,20,19,22,23,23,18,22,21,21,21,8.58,8.99,3
296,57,19,60,13,60,18,37,14,58,15,24,18,22,21,23,18,42,41,60,15,67,20,61,16,61,16,60,15,23,24,23,22,23,22,23,21,22,22,8.42,9.37,3
307,73,19,64,11,66,17,33,10,42,14,23,21,22,16,21,18,41,39,61,16,64,18,57,13,54,11,60,15,23,23,23,18,23,20,23,21,22,22,8.23,8.93,3
310,58,19,56,9,57,16,54,15,37,13,24,21,23,20,22,19,47,46,66,19,64,18,63,17,60,15,57,13,23,23,22,20,23,22,23,20,23,23,7.96,9.56,3
313,53,19,51,15,59,18,62,17,56,16,23,21,20,19,23,24,42,46,56,11,68,19,59,13,69,20,66,18,23,23,20,24,22,19,23,23,22,22,8.5,9.25,3
