, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
mean,69.44642857142857,18.214285714285715,67.01785714285714,15.339285714285714,68.94642857142857,17.714285714285715,63.92857142857143,15.892857142857142,59.30357142857143,17.017857142857142,22.589285714285715,21.160714285714285,22.25,21.142857142857142,23.142857142857142,21.178571428571427,45.232142857142854,45.80357142857143,70.08928571428571,17.589285714285715,68.55357142857143,17.839285714285715,66.73214285714286,16.678571428571427,67.41071428571429,17.446428571428573,65.32142857142857,16.607142857142858,22.321428571428573,22.142857142857142,22.089285714285715,22.035714285714285,22.321428571428573,21.982142857142858,22.5,21.446428571428573,21.857142857142858,22.25,9.539464285714287,9.68625,1.0
std,6.5945422140575465,1.545836469232884,5.272539741403125,2.047408878774124,6.408572789225788,2.033485907269813,5.637075782409118,2.72148737026162,7.395132656889057,2.3080182087557395,1.6925159939009113,1.4743477536528817,1.6868475169541985,2.1099639930453913,1.1189048449032883,2.8291157812815126,2.635361430644736,2.407712175920935,5.967416939938498,2.775062886850319,4.880088087346349,2.3723926220688587,6.3460540966337975,2.8097695981708526,5.830255836314828,2.5003246542445994,5.650767101126079,2.9522168645925078,1.1925090867905042,1.783036953969485,1.268883341787154,1.8087090897733034,1.3363062095621219,1.6347484813886806,1.2933395813657265,2.3811352743607817,1.9204977709728508,1.6431676725154984,0.36936515385606816,0.37788676755201295,0.0
min,53.0,14.0,56.0,11.0,51.0,13.0,53.0,10.0,39.0,11.0,18.0,18.0,16.0,18.0,20.0,13.0,40.0,38.0,54.0,9.0,54.0,11.0,43.0,11.0,51.0,11.0,52.0,8.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,14.0,17.0,17.0,8.69,8.44,1.0
25%,64.75,17.0,64.0,14.0,67.0,16.75,60.0,14.0,54.0,15.75,21.75,20.0,21.0,20.0,23.0,19.75,43.0,44.0,66.0,16.0,66.0,17.0,63.75,14.75,64.0,16.0,61.75,16.0,22.0,21.0,21.75,21.0,22.0,21.75,22.0,21.0,20.75,21.0,9.23,9.52,1.0
50%,69.0,18.0,68.0,16.0,71.0,18.0,65.0,16.0,60.0,17.0,23.0,21.0,22.5,21.0,24.0,22.0,46.0,46.0,71.0,19.0,70.0,19.0,67.0,17.5,67.5,18.0,67.0,17.0,23.0,23.0,22.5,22.0,23.0,22.0,23.0,22.0,22.0,23.0,9.54,9.81,1.0
75%,74.25,19.25,70.0,17.0,73.0,19.0,68.0,18.0,65.0,19.0,24.0,22.0,24.0,22.0,24.0,24.0,47.25,48.0,75.0,20.0,71.25,20.0,71.0,19.0,72.0,20.0,69.0,18.25,23.0,24.0,23.0,24.0,23.0,23.0,23.0,23.0,23.25,24.0,9.85,10.0,1.0
max,80.0,20.0,78.0,19.0,79.0,20.0,75.0,20.0,70.0,20.0,24.0,24.0,24.0,32.0,24.0,24.0,49.0,49.0,80.0,20.0,76.0,20.0,76.0,20.0,76.0,20.0,75.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,10.0,10.0,1.0
