, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
mean,66.07462686567165,15.567164179104477,55.71641791044776,14.119402985074627,57.62686567164179,17.388059701492537,51.88059701492537,14.552238805970148,55.507462686567166,16.223880597014926,21.776119402985074,21.0,21.074626865671643,21.074626865671643,22.53731343283582,21.567164179104477,43.25373134328358,43.791044776119406,67.46268656716418,17.791044776119403,63.507462686567166,16.388059701492537,59.08955223880597,15.014925373134329,60.32835820895522,16.70149253731343,57.74626865671642,16.65671641791045,21.417910447761194,21.507462686567163,20.70149253731343,20.044776119402986,21.671641791044777,19.388059701492537,21.149253731343283,21.104477611940297,20.80597014925373,20.64179104477612,8.575820895522389,9.160298507462684,3.0
std,7.970235221113199,2.4815921123405342,7.757315159858553,3.1695635301262075,8.03936493213149,2.373816923071473,7.86731325294671,2.7976374344855546,7.257959339065355,2.228064083747253,1.998642687322453,1.7407765595569784,1.760797278402865,1.6358987228396848,1.4701923004394257,2.031747125438529,2.7816677120143805,3.1408226746701726,6.860798518347721,2.14290452447024,6.467572103891936,2.430583069345253,6.680435803429662,3.0673872867757863,4.8222591829263965,2.6743162557090225,6.066158695638401,2.3839885016372224,1.8352545338399522,2.252090842187633,1.9541325702766923,2.077533763871754,1.6179678584429045,1.9614096962087568,2.2377865913854147,1.6434841810248917,1.9246314560246784,2.1298847069189155,0.49602098334687217,0.4311470611416387,0.0
min,35.0,9.0,32.0,8.0,34.0,9.0,33.0,9.0,37.0,11.0,17.0,16.0,16.0,16.0,16.0,15.0,37.0,33.0,51.0,11.0,48.0,10.0,39.0,9.0,47.0,10.0,43.0,10.0,17.0,10.0,14.0,16.0,16.0,15.0,14.0,16.0,16.0,14.0,7.54,8.19,3.0
25%,61.5,14.0,51.0,12.5,53.0,16.0,46.5,12.0,51.0,15.0,20.0,20.0,20.0,21.0,22.0,20.0,41.5,42.0,62.5,16.5,60.0,15.0,55.5,12.0,58.5,15.5,54.5,15.0,20.0,21.0,20.0,18.0,21.0,18.0,20.0,20.0,20.0,19.5,8.31,8.870000000000001,3.0
50%,68.0,16.0,56.0,14.0,57.0,18.0,53.0,15.0,56.0,16.0,22.0,21.0,21.0,22.0,23.0,22.0,44.0,45.0,68.0,18.0,64.0,17.0,60.0,16.0,60.0,17.0,58.0,17.0,22.0,21.0,20.0,20.0,22.0,20.0,21.0,21.0,21.0,21.0,8.54,9.25,3.0
75%,72.0,17.5,61.0,17.0,62.0,19.0,56.0,17.0,62.0,18.0,23.0,22.0,23.0,22.0,24.0,23.0,45.0,46.0,73.0,19.0,68.0,18.0,63.5,18.0,63.0,19.0,62.0,18.0,23.0,23.0,22.0,22.0,23.0,20.0,23.0,22.0,22.0,22.0,8.92,9.52,3.0
max,78.0,19.0,73.0,20.0,78.0,20.0,69.0,20.0,68.0,20.0,24.0,24.0,24.0,23.0,24.0,24.0,49.0,48.0,80.0,20.0,75.0,20.0,72.0,20.0,70.0,20.0,68.0,20.0,24.0,25.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,9.54,10.0,3.0
