, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
count,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
mean,33.785714285714285,9.75,37.357142857142854,10.196428571428571,43.07142857142857,12.910714285714286,37.107142857142854,10.482142857142858,36.17857142857143,12.089285714285714,19.410714285714285,18.660714285714285,19.482142857142858,19.267857142857142,20.446428571428573,19.017857142857142,41.035714285714285,41.892857142857146,44.410714285714285,13.339285714285714,46.69642857142857,12.160714285714286,44.5,11.25,46.44642857142857,12.285714285714286,49.035714285714285,14.142857142857142,20.017857142857142,19.107142857142858,19.571428571428573,19.0,19.803571428571427,18.267857142857142,20.678571428571427,19.678571428571427,19.089285714285715,18.517857142857142,3.692142857142857,6.590892857142856,2.0
std,9.815968966599616,2.8428538797866807,9.772742373893497,2.4377310080344117,8.597794945337899,2.9000111956792396,9.687252300980767,2.703472994828362,6.830698467831936,2.664765285343913,2.8398257674741934,2.5461327946107226,2.343199610699954,2.127662579439713,2.4414574101782494,3.370951154839193,4.44752959298974,4.650233899996356,9.05292877915868,2.823774300240956,6.951571811421547,2.921872287136736,8.351374410565876,3.129042839417366,7.82982559391771,2.9585886421141336,7.871615949875709,3.3543923521180483,2.3080182087557395,2.4471027130694143,1.847427133336255,1.916436086262016,1.9486092276487665,1.8924834230432528,2.072391178036906,2.2247136106363556,2.226099611544704,3.490199637054234,3.1525612757569994,1.9408866547260062,0.0
min,15.0,1.0,7.0,4.0,32.0,8.0,12.0,4.0,17.0,7.0,14.0,13.0,15.0,15.0,14.0,10.0,25.0,31.0,19.0,8.0,32.0,6.0,20.0,3.0,20.0,8.0,32.0,8.0,13.0,14.0,15.0,14.0,14.0,14.0,13.0,15.0,12.0,0.0,0.0,0.0,2.0
25%,32.0,8.0,32.0,8.75,37.0,10.75,32.0,8.0,32.0,10.0,17.0,17.75,18.0,17.0,19.0,17.0,38.75,37.75,39.0,11.0,42.0,10.0,39.0,9.0,42.0,10.0,43.0,11.0,19.0,17.75,18.75,18.0,19.0,17.0,20.0,18.0,18.0,18.0,0.0,6.59,2.0
50%,32.5,10.0,37.5,10.0,41.0,13.0,34.0,10.0,36.0,12.0,20.0,19.0,20.0,20.0,21.0,19.0,41.5,43.5,44.5,13.0,47.0,12.0,44.5,11.0,47.5,12.0,49.0,14.5,21.0,19.0,20.0,19.0,20.0,18.0,21.0,20.0,19.0,19.0,5.73,6.98,2.0
75%,39.25,12.0,43.0,11.25,48.0,15.0,42.25,12.25,41.0,14.0,22.0,20.25,21.0,21.0,22.0,22.0,44.0,46.0,49.25,15.25,51.25,14.0,50.0,13.25,51.25,14.0,54.0,17.0,22.0,21.0,21.0,20.0,21.0,20.0,22.0,22.0,20.25,20.0,6.23,7.44,2.0
max,55.0,16.0,64.0,16.0,68.0,20.0,59.0,16.0,48.0,18.0,24.0,24.0,23.0,23.0,24.0,24.0,48.0,48.0,68.0,19.0,63.0,19.0,60.0,18.0,63.0,20.0,67.0,20.0,23.0,25.0,23.0,22.0,23.0,22.0,24.0,23.0,23.0,23.0,8.81,8.63,2.0
