AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,GPA_SEMIII,OOPM,AM_3,DS,DLDA,DIS,ECCF,DLDA_Lab,DS_Lab,OOPM_Lab,ECCF_Lab,AM_3_Tutorial
48,44,59,55,54,39,43,42,79,6.15,88.462,81.395,80,91.111,84.783,82.222,100,90.909,83.333,66.667,100
75,76,78,61,81,45,45,44,86,9.04,76.923,60.465,65,71.111,58.696,71.111,100,72.727,91.667,50,66.67
55,46,51,44,57,39,38,36,84,6.15,76.923,51.163,60,71.111,73.913,68.889,88.889,90.909,91.667,66.667,100
87,76,64,86,81,41,44,46,93,9.38,65.385,55.814,50,64.444,85.294,51.111,100,72.717,83.333,41.667,33.33
64,55,52,56,56,37,36,29,74,6.5,82.609,91.3,78.571,87,95.6,87.234,100,100,100,81.82,75
40,60,50,48,43,45,44,40,92,6.08,82.609,52.2,83.333,89,77.8,78.723,80,80,100,63.64,75
86,72,68,60,63,42,42,41,92,8.31,78.261,76.1,83.333,82,88.9,85.106,100,100,90,90.91,87.5
80,68,58,68,70,45,43,43,88,8.15,69.565,84.8,83.333,89,86.7,85.106,100,90,100,90.91,87.5
90,70,64,67,90,44,43,44,93,8.77,78.261,76.1,88.095,87,80,72.34,80,90,90,45.45,62.5
19,46,48,27,40,44,40,40,85,0,86.957,80.4,88.095,80,91.1,85.106,90,100,100,81.82,87.5
71,65,62,45,54,45,42,43,92,7.31,65.217,76.1,76.19,80,86.7,82.979,100,100,90,90.91,87.5
64,62,62,55,43,41,41,41,91,6.96,86.957,73.9,83.333,80,82.2,87.234,100,100,90,90.91,75
67,57,54,42,78,43,38,42,87,7.08,69.565,56.5,90.476,76,84.4,82.979,90,80,90,81.82,87.5
90,76,87,74,85,43,44,45,93,9.54,86.957,73.9,85.714,78,93.3,85.106,100,80,100,81.82,100
83,71,89,79,66,42,44,44,84,9.08,82.609,91.3,92.857,84,91.1,91.489,90,100,90,90.91,100
96,75,69,62,84,48,42,46,92,8.92,73.913,65.2,76.19,80,75.6,78.723,100,90,80,81.82,100
77,51,63,56,56,43,43,44,92,7.5,86.957,89.1,90.476,93,91.1,89.362,100,100,90,100,87.5
51,48,45,46,64,48,41,45,92,6.46,78.261,71.7,78.571,82,95.6,82.979,100,100,100,90.91,87.5
67,54,81,56,71,43,42,46,93,7.88,78.261,84.8,92.857,93,91.1,89.362,90,90,90,63.64,100
99,84,90,84,86,47,46,48,90,10,78.261,89.1,92.857,98,91.1,93.617,90,100,100,90.91,87.5
48,59,68,60,52,44,43,38,92,6.85,73.913,84.8,88.095,91,91.1,80.851,90,100,90,90.91,87.5
75,64,61,55,66,44,40,44,89,7.81,73.913,84.8,88.095,91,91.1,80.851,90,100,90,90.91,87.5
65,53,55,43,52,42,41,41,81,6.65,86.957,76.1,83.333,87,77.8,80.851,90,90,90,81.82,100
88,73,75,68,78,47,45,44,86,8.92,86.957,84.8,92.857,93,95.6,91.489,100,90,100,90.91,87.5
92,68,74,57,75,39,44,41,80,8.42,78.261,52.2,85.714,91,84.4,87.234,100,80,100,91.67,75
85,58,76,58,80,46,43,46,91,8.62,91.304,95.7,95.238,96,95.6,93.617,90,90,100,91.67,100
64,33,61,42,61,33,39,43,87,6.5,65.217,65.2,78.571,73,82.2,78.723,100,80,88.89,83.33,62.5
62,62,76,58,85,40,42,37,74,7.96,60.869,60.9,88.095,80,75.6,85.106,90,80,88.89,100,100
44,46,56,43,50,37,42,43,83,5.85,60.87,71.7,85.714,84,82.2,89.362,100,90,100,100,87.5
83,73,81,70,77,48,45,47,90,9.23,86.957,78.3,85.714,89,75.6,95.745,90,90,100,83.33,87.5
80,77,85,72,74,47,40,46,94,9.23,60.87,60.9,88.095,82,84.4,95.745,100,80,77.78,91.67,100
59,49,74,58,64,48,44,45,92,7.08,86.957,84.8,90.476,89,93.3,97.872,90,100,100,100,87.5
54,40,51,39,41,32,40,35,86,5.65,65.217,76.1,88.095,91,82.2,82.979,80,100,88.89,91.67,87.5
58,40,55,48,37,40,37,35,86,5.85,56.522,50,57.143,87,55.6,51.064,100,60,77.78,66.67,37.5
57,50,60,47,55,41,41,40,72,6.62,65.217,76.1,71.429,78,68.9,76.596,100,90,88.89,91.67,87.5
79,73,85,67,68,48,45,43,87,8.58,78.261,89.1,88.095,93,95.6,95.745,90,90,100,100,87.5
82,61,76,54,58,45,41,41,88,8.15,69.565,76.1,78.571,73,82.2,82.979,100,80,100,91.67,87.5
60,47,60,47,64,43,42,43,88,6.96,78.261,67.4,83.333,89,88.9,85.106,100,90,100,100,75
90,58,89,67,70,43,43,43,85,8.62,73.913,73.9,83.333,87,86.7,74.468,90,100,100,100,100
70,53,65,56,56,44,43,44,84,7.31,82.609,97.8,95.238,91,95.6,78.723,80,100,88.89,100,87.5
62,35,60,52,40,33,35,39,84,6.27,39.13,50,40.476,80,48.9,38.298,70,50,55.56,41.67,50
85,66,81,53,71,46,40,42,86,8.62,52.174,60.9,80.952,82,75.6,70.213,100,90,100,91.67,100
74,52,67,46,56,44,42,42,84,7.15,82.609,87,83.333,80,95.6,91.489,100,90,88.89,91.67,87.5
67,61,63,65,76,47,43,46,93,7.88,,,,,,,,,,,
40,40,42,44,39,36,39,40,90,5.04,,,,,,,,,,,
87,71,76,56,83,47,42,47,92,8.92,,,,,,,,,,,
69,44,56,56,58,44,41,45,92,6.65,,,,,,,,,,,
21,23,37,25,31,45,41,44,92,0,,,,,,,,,,,
46,51,57,61,59,41,41,41,92,6.73,,,,,,,,,,,
59,59,59,56,52,43,41,42,91,6.77,,,,,,,,,,,
74,65,66,60,58,45,42,39,90,7.58,,,,,,,,,,,
74,48,51,46,75,38,42,47,90,7.27,,,,,,,,,,,
32,41,40,41,41,27,39,43,88,4.96,,,,,,,,,,,
34,51,61,42,59,43,42,47,92,6.23,,,,,,,,,,,
45,27,47,42,41,28,39,46,86,0,,,,,,,,,,,
30,40,45,33,45,33,41,45,86,0,,,,,,,,,,,
44,49,44,45,47,41,41,45,91,5.62,,,,,,,,,,,
57,31,42,44,44,30,40,42,88,0,,,,,,,,,,,
39,26,43,15,36,40,38,44,94,0,,,,,,,,,,,
30,41,51,41,40,37,41,43,93,0,,,,,,,,,,,
55,61,66,47,64,46,40,44,90,7.08,,,,,,,,,,,
31,40,50,49,44,34,42,44,90,0,,,,,,,,,,,
47,35,43,47,42,36,41,43,89,0,,,,,,,,,,,
