,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA,cluster
4,55,11,57,13,46,13,42,10,32,14,20,20,21,21,23,22,42,48,7.12,3
9,60,15,52,13,55,18,18,9,44,13,17,20,21,21,22,21,39,43,0.0,3
13,64,9,52,12,35,15,42,13,53,10,22,22,20,22,22,21,38,37,7.38,3
14,65,13,47,14,34,16,55,10,48,15,21,20,21,22,24,21,37,42,7.73,3
15,64,11,32,13,48,15,36,16,35,9,22,20,21,20,21,15,36,37,6.81,3
20,54,11,35,14,38,17,32,12,44,12,20,22,22,21,22,24,42,47,6.5,3
21,48,10,40,15,38,16,45,13,47,17,23,23,23,22,24,23,44,45,6.92,3
23,64,13,47,17,40,16,41,14,43,14,23,21,21,23,22,22,44,46,7.5,3
24,68,11,35,5,36,14,46,7,36,14,19,19,23,20,23,22,44,46,0.0,3
26,62,13,35,11,38,13,47,15,52,14,18,19,20,21,24,21,38,42,7.42,3
27,74,11,37,10,35,18,9,8,32,11,22,20,16,20,22,21,36,48,0.0,3
31,41,9,34,13,27,14,43,13,57,18,22,23,23,22,24,19,45,38,6.77,3
36,69,12,32,11,43,19,43,14,55,17,23,23,23,23,24,23,45,44,7.69,3
37,57,16,47,13,52,19,34,9,41,11,18,20,22,22,22,22,38,44,7.27,3
39,55,14,43,10,35,16,33,13,35,13,23,23,23,20,22,23,44,45,6.65,3
41,50,9,39,11,45,17,40,14,55,18,22,23,22,21,22,22,44,45,7.23,3
44,59,9,39,12,34,16,42,11,44,12,23,22,21,22,21,22,40,43,6.96,3
47,66,12,40,12,48,14,33,13,52,11,20,20,19,19,20,21,42,45,7.46,3
48,51,8,36,10,32,18,32,9,34,14,21,21,21,21,20,17,42,44,6.08,3
54,46,9,38,8,37,14,32,12,46,11,20,19,18,20,18,18,38,46,6.15,3
56,55,9,45,10,41,11,45,11,46,10,17,20,15,21,14,15,37,37,6.5,3
62,62,9,54,11,51,11,33,12,40,14,22,23,21,21,23,20,47,45,7.31,3
63,50,14,49,13,43,19,41,14,32,11,22,19,20,21,21,20,44,47,6.96,3
64,56,11,46,11,41,13,33,9,63,15,20,23,18,20,22,20,46,41,7.08,3
68,63,14,38,13,48,15,44,12,42,14,22,21,21,22,22,22,44,48,7.5,3
69,41,10,32,16,27,18,34,12,48,16,24,24,20,21,23,22,45,47,6.46,3
74,54,11,43,10,40,15,32,11,37,15,19,23,20,21,22,19,46,35,6.65,3
78,53,11,24,9,47,14,33,9,46,15,16,17,20,19,20,23,40,47,6.5,3
83,50,9,32,17,57,17,45,13,50,14,24,24,22,22,24,21,45,47,7.08,3
86,46,11,40,10,48,12,33,14,43,12,19,22,20,21,20,20,36,36,6.62,3
89,51,9,36,11,44,16,36,11,51,13,20,23,20,22,22,21,42,46,6.96,3
91,61,9,43,10,51,14,46,10,42,14,21,23,22,21,21,23,41,43,7.31,3
92,53,9,26,9,45,15,44,8,32,8,15,18,13,22,19,20,38,46,6.27,3
94,63,11,38,14,49,18,34,12,41,15,22,22,20,22,19,23,43,41,7.15,3
98,54,15,32,12,42,14,41,15,41,17,21,23,21,20,23,22,47,45,6.65,3
101,49,10,44,15,40,19,44,12,39,13,22,21,19,22,22,20,45,46,6.77,3
103,58,16,37,11,27,14,33,16,58,17,18,20,22,20,23,24,46,44,7.27,3
112,46,9,45,16,46,20,32,15,50,14,23,23,20,20,23,21,46,44,7.08,3
155,53,14,53,10,39,13,35,10,43,19,18,20,19,20,23,22,40,37,6.96,3
159,52,17,32,12,45,13,32,11,41,13,20,22,19,20,23,21,38,37,6.23,3
160,56,16,39,9,41,14,34,8,20,14,19,14,19,19,23,23,40,40,0.0,3
187,46,14,34,9,58,18,32,11,49,17,22,22,20,18,24,24,46,47,6.92,3
197,52,4,44,6,48,11,33,6,44,13,15,20,15,17,15,16,31,36,5.92,3
202,57,12,43,11,56,17,32,11,53,15,18,20,20,19,21,19,45,45,7.04,3
205,68,14,32,11,46,16,42,10,34,14,19,14,18,19,19,19,44,42,7.0,3
215,53,15,46,14,40,17,45,12,46,17,19,20,21,20,17,20,43,44,7.15,3
234,60,13,53,13,41,15,39,5,34,12,21,19,19,16,22,19,42,45,0.0,3
263,56,14,46,15,37,15,37,13,49,12,24,21,21,19,24,18,46,38,7.46,3
273,69,14,38,12,41,10,32,9,19,7,21,17,22,20,24,17,45,44,0.0,3
283,52,14,44,10,39,13,32,12,37,10,23,18,22,17,22,15,41,39,6.38,3
308,64,17,33,12,33,12,35,8,28,10,22,18,22,17,19,19,42,40,6.54,3
321,50,11,45,8,44,15,40,9,48,15,23,19,20,16,20,20,48,48,6.38,3
