,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
5,56,15,61,19,57,16,60,20,52,15,23,10,22,20,23,20,21,20,22,20,8.89,2
8,68,16,63,19,40,19,54,19,43,16,24,21,20,20,23,22,23,21,22,18,8.62,2
12,58,18,57,15,55,17,62,16,49,16,20,21,22,18,21,19,21,21,23,21,8.73,2
16,61,17,59,14,44,17,54,15,47,15,20,24,21,20,22,20,21,20,23,19,8.29,2
23,61,20,58,17,57,16,61,16,47,16,21,24,19,22,19,16,20,23,21,22,8.89,2
24,65,17,55,14,54,15,58,16,50,15,19,18,21,18,22,18,19,20,21,22,8.26,2
30,53,18,60,18,63,18,63,19,62,19,20,24,20,21,23,20,18,20,21,20,9.54,2
36,61,20,54,16,50,15,56,16,47,15,23,21,19,20,22,18,20,22,23,18,8.52,2
47,61,16,65,12,50,15,65,14,55,13,18,21,21,22,22,19,20,19,21,18,8.51,2
52,54,16,51,16,45,18,57,20,60,19,20,21,21,21,21,19,15,21,18,18,8.29,2
58,51,16,58,13,61,15,60,14,58,18,20,20,20,20,18,17,20,21,16,20,8.43,2
59,72,17,55,11,52,14,55,17,60,17,22,24,19,18,20,20,22,20,16,18,8.44,2
60,60,19,59,11,61,15,61,13,55,17,20,23,21,19,19,20,21,21,18,19,8.52,2
62,52,17,53,12,63,15,57,14,52,20,22,21,18,18,20,17,20,21,20,18,8.07,2
63,66,14,55,14,44,14,59,15,55,19,21,24,19,19,19,16,20,22,18,14,8.0,2
67,65,17,52,13,64,15,60,17,61,20,23,22,20,20,21,19,20,21,22,21,9.36,2
68,58,12,54,13,55,15,59,12,55,18,22,22,20,20,20,17,21,21,18,19,8.07,2
74,51,17,62,11,54,9,55,12,55,15,21,21,20,20,20,15,20,21,17,14,7.59,2
79,57,20,56,14,65,14,51,15,61,18,20,24,18,19,22,16,20,22,20,18,8.59,2
85,65,19,51,10,52,11,52,10,39,14,20,19,18,19,22,16,20,22,18,22,8.0,2
89,50,14,61,12,49,15,48,13,55,19,21,22,20,20,24,17,23,23,20,19,7.89,2
