,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
71,77,20,65,19,64,19,67,19,64,20,24,22,20,19,23,22,24,24,23,22,10.0,3
115,68,20,73,20,63,17,63,19,64,20,24,24,24,24,24,23,24,24,23,24,10.0,3
116,70,16,74,16,70,11,70,16,58,18,22,23,20,22,22,18,24,23,21,21,9.85,3
134,78,19,70,17,55,16,66,17,68,19,22,21,23,21,24,22,24,24,20,23,9.7,3
142,77,20,71,15,72,12,65,17,68,18,22,22,20,19,21,20,24,24,19,21,9.96,3
144,80,19,68,19,64,12,64,18,67,14,23,21,20,21,21,22,24,24,22,21,9.85,3
146,73,19,62,19,69,12,71,15,62,19,23,23,22,23,23,22,24,23,19,21,10.0,3
173,72,19,57,18,59,14,66,16,71,19,24,20,23,22,20,23,21,23,20,20,9.56,3
182,66,19,63,17,67,15,62,16,67,17,20,21,22,22,20,23,22,22,21,22,9.85,3
226,66,16,71,19,72,20,72,20,65,15,23,23,23,24,23,24,23,21,24,24,10.0,3
227,71,17,74,19,69,16,72,18,69,16,20,22,20,21,20,20,22,21,19,19,9.93,3
229,62,16,64,17,65,18,68,20,67,19,20,21,23,24,23,23,21,22,22,22,9.81,3
230,73,20,73,20,69,17,73,20,70,18,23,24,23,24,23,22,24,23,24,24,10.0,3
240,69,19,61,14,67,18,70,20,58,12,23,20,23,24,23,23,21,18,24,24,9.52,3
241,75,20,74,19,75,20,75,20,71,17,23,23,23,24,23,24,24,23,24,24,10.0,3
242,68,16,74,20,74,20,73,19,68,16,23,24,23,23,23,24,24,22,23,23,10.0,3
243,60,12,72,20,71,19,65,15,71,19,22,24,23,21,23,23,24,24,23,23,9.63,3
244,74,19,75,20,75,20,75,20,72,18,23,24,22,24,23,24,24,23,22,22,10.0,3
245,65,15,69,18,71,19,62,13,66,16,23,23,21,19,23,23,24,22,21,21,9.85,3
247,68,17,69,18,69,18,66,16,68,17,22,22,22,21,22,22,22,22,24,24,10.0,3
256,68,19,68,19,65,17,63,16,66,18,22,23,23,22,22,22,21,22,20,20,9.85,3
258,61,13,70,19,68,18,68,18,65,16,22,23,23,23,23,23,23,22,24,24,9.73,3
260,72,20,72,20,71,19,71,19,60,12,22,24,22,23,23,23,22,19,22,22,9.7,3
262,76,20,66,13,75,19,76,20,73,18,23,20,23,24,23,23,24,23,23,23,9.85,3
265,63,16,68,19,60,14,68,19,62,15,23,23,23,23,23,20,24,21,24,24,9.37,3
267,58,12,70,20,66,17,66,17,66,17,20,23,20,21,23,22,23,22,21,21,9.63,3
271,71,20,70,19,70,19,68,18,68,18,22,23,22,22,23,23,22,22,21,21,10.0,3
281,70,19,71,20,70,19,67,17,67,17,22,24,23,22,23,23,23,22,23,23,10.0,3
282,70,18,69,17,61,12,73,20,67,16,23,22,23,24,23,19,23,22,23,23,9.7,3
284,66,17,70,20,66,17,64,16,69,19,23,24,22,21,23,22,21,22,22,22,10.0,3
288,71,17,71,17,74,19,75,20,72,18,23,22,23,24,23,23,23,23,23,23,10.0,3
289,69,16,75,20,74,19,75,20,74,19,23,24,23,24,23,23,23,23,24,24,10.0,3
292,66,16,71,19,66,16,72,20,69,18,22,23,22,24,23,22,22,22,24,24,10.0,3
293,75,19,76,20,76,20,76,20,73,18,23,24,23,24,23,24,20,20,24,24,10.0,3
294,62,14,71,20,68,18,67,17,67,17,23,24,22,22,22,22,21,21,23,23,9.91,3
298,59,11,63,14,63,14,71,19,65,15,23,20,22,23,23,20,23,21,24,24,9.33,3
300,76,20,76,20,76,20,76,20,70,16,23,24,22,24,23,24,23,22,24,24,10.0,3
303,70,19,71,20,67,17,71,20,53,8,23,24,23,24,23,22,22,16,24,24,9.52,3
304,75,20,75,20,75,20,75,20,75,20,23,24,23,24,23,24,23,24,24,24,10.0,3
305,61,15,68,20,61,15,68,20,64,17,23,24,23,24,23,21,23,22,23,23,9.67,3
309,71,19,72,20,71,19,68,17,68,17,23,24,23,22,23,23,23,22,23,23,10.0,3
311,64,14,70,18,70,18,73,20,67,16,23,23,23,24,23,23,23,22,23,23,9.81,3
312,63,14,69,18,66,16,72,20,69,18,23,23,23,24,23,22,23,23,23,23,9.81,3
313,56,11,68,19,59,13,69,20,66,18,23,23,20,24,22,19,23,23,22,22,9.25,3
314,69,18,65,15,60,12,72,20,71,19,23,21,23,24,23,19,23,23,24,24,9.8,3
316,63,14,71,19,72,20,68,17,68,17,21,22,22,22,23,24,23,22,22,22,9.81,3
