,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
63,66,14,55,14,44,14,59,15,55,19,21,24,19,19,19,16,20,22,18,14,8.0,2
64,53,17,47,13,50,14,52,12,40,13,21,23,23,22,21,18,21,22,21,21,7.73,1
65,76,16,62,19,65,19,59,20,59,20,21,24,21,21,18,20,22,21,17,23,9.77,0
66,64,17,64,13,53,17,59,17,65,20,20,21,21,20,18,20,22,21,15,20,9.22,0
67,65,17,52,13,64,15,60,17,61,20,23,22,20,20,21,19,20,21,22,21,9.36,2
68,58,12,54,13,55,15,59,12,55,18,22,22,20,20,20,17,21,21,18,19,8.07,2
69,57,14,35,10,55,13,52,11,43,18,21,18,21,22,21,17,21,22,20,20,7.58,1
70,41,14,50,14,32,15,48,17,55,16,22,23,23,23,20,21,22,23,23,20,7.43,1
71,77,20,65,19,64,19,67,19,64,20,24,22,20,19,23,22,24,24,23,22,10.0,3
72,41,15,54,16,60,15,53,17,51,20,22,21,19,19,20,20,22,23,20,21,8.19,1
73,67,18,54,12,48,10,40,13,43,14,22,24,18,17,19,17,19,20,21,18,7.56,4
74,51,17,62,11,54,9,55,12,55,15,21,21,20,20,20,15,20,21,17,14,7.59,2
75,57,19,70,14,67,17,65,18,57,20,22,20,20,19,20,17,21,22,18,16,9.37,0
76,67,18,56,12,67,16,60,17,61,17,22,23,20,20,21,18,21,23,18,15,8.96,0
77,68,18,60,15,58,16,64,18,59,20,23,25,18,19,21,16,23,23,19,23,9.33,0
78,71,16,52,12,44,11,41,12,53,19,20,22,18,18,19,15,20,22,17,20,7.84,4
79,57,20,56,14,65,14,51,15,61,18,20,24,18,19,22,16,20,22,20,18,8.59,2
80,41,9,47,10,34,14,20,8,42,17,19,21,20,20,21,16,20,21,22,20,0.0,5
81,64,20,62,17,67,18,59,17,65,20,22,21,19,21,22,17,22,23,19,22,9.67,0
82,77,20,62,16,71,19,52,11,65,20,21,22,19,21,21,18,22,24,22,23,9.37,0
83,44,17,52,17,52,12,51,15,47,20,23,20,18,20,23,15,24,24,24,22,7.63,1
84,47,14,42,8,55,9,32,10,40,17,19,19,20,20,20,15,20,22,20,19,6.7,1
85,65,19,51,10,52,11,52,10,39,14,20,19,18,19,22,16,20,22,18,22,8.0,2
86,36,17,55,10,53,10,40,11,52,14,18,21,22,22,19,15,20,22,20,20,7.11,1
87,63,18,73,16,66,18,67,17,58,20,22,21,19,19,23,18,21,22,20,19,9.78,0
88,66,20,65,14,63,14,57,12,53,17,21,21,23,21,22,15,20,21,21,21,8.85,0
89,50,14,61,12,49,15,48,13,55,19,21,22,20,20,24,17,23,23,20,19,7.89,2
90,68,18,73,14,62,12,59,12,57,16,20,23,20,19,22,16,21,20,19,18,8.93,0
91,44,15,36,12,36,12,46,16,51,17,22,24,18,19,21,16,21,20,22,17,6.8,4
92,61,10,57,11,56,15,62,13,58,18,20,22,20,19,19,15,20,20,16,21,8.26,2
93,60,19,69,14,63,18,60,18,66,20,20,23,19,18,21,20,22,23,19,21,9.63,0
94,52,19,62,11,56,12,53,11,53,18,21,20,20,21,21,16,20,21,17,18,7.95,2
95,52,17,53,14,60,15,53,14,58,19,22,23,19,19,22,18,22,22,19,16,8.11,2
