,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA,cluster
3,38,12,52,12,40,18,54,13,60,18,23,22,21,22,24,24,45,46,7.54,0
43,44,9,42,15,59,19,39,15,55,19,21,21,20,22,23,22,47,44,7.54,0
49,44,14,54,11,45,19,41,16,39,18,23,23,21,21,21,24,44,45,7.08,0
66,44,17,57,14,69,20,61,18,48,18,22,20,22,22,21,23,46,38,9.08,0
79,48,14,49,13,49,17,43,15,68,17,20,20,20,22,21,16,41,33,7.96,0
116,35,12,56,13,62,16,65,13,60,16,20,21,20,21,22,22,45,40,8.12,0
117,47,14,66,8,68,12,38,12,43,11,18,18,18,16,22,21,34,35,7.0,0
122,32,11,64,11,57,19,32,12,46,19,24,21,21,22,23,24,42,38,7.15,0
124,52,12,56,10,54,13,39,8,33,12,21,18,18,19,23,20,42,39,6.85,0
127,55,17,72,15,58,16,52,15,51,17,20,20,22,21,23,20,44,39,8.38,0
135,45,11,63,14,53,13,51,10,37,14,19,19,18,19,23,18,40,41,7.42,0
137,44,13,63,10,50,13,55,15,35,17,22,21,19,19,21,18,37,35,7.31,0
140,49,10,58,14,48,13,56,12,33,17,20,17,19,20,23,19,42,40,7.27,0
148,37,12,49,16,61,14,51,11,40,15,20,21,20,20,23,19,48,42,7.35,0
152,55,17,75,10,52,17,53,10,50,17,21,20,16,19,23,22,45,41,8.15,0
154,40,16,58,18,63,15,43,15,33,13,19,20,23,19,21,19,40,39,7.42,0
158,35,18,55,13,70,16,62,13,43,17,19,20,20,20,24,21,47,40,8.12,0
163,43,13,56,13,65,16,51,13,49,18,18,22,20,21,22,22,42,38,7.85,0
165,44,12,72,16,72,16,59,12,55,19,19,21,20,20,24,24,46,42,8.62,0
167,34,11,54,11,50,16,39,10,48,17,18,20,19,19,22,21,40,37,6.73,0
168,32,11,66,11,60,11,57,11,55,15,19,19,19,19,21,21,41,42,7.54,0
170,55,15,63,12,49,16,44,11,53,13,20,21,20,20,23,18,45,40,7.92,0
172,40,15,67,12,49,16,36,11,36,16,20,20,20,22,22,16,46,41,7.19,0
175,49,14,55,8,73,14,48,14,55,16,20,21,21,22,23,18,47,43,8.19,0
190,44,13,35,15,50,19,59,15,58,18,19,22,23,23,19,20,45,44,7.65,0
192,45,11,52,11,52,17,49,9,41,13,14,17,16,22,14,12,25,35,6.54,0
195,49,9,58,8,43,14,42,12,36,13,18,13,20,19,22,22,41,40,6.62,0
198,34,10,50,8,59,18,46,10,57,15,19,21,19,19,24,23,44,42,7.12,0
201,32,9,64,10,41,13,35,4,48,13,17,19,15,15,19,19,43,45,0.0,0
210,48,15,50,9,55,15,47,12,63,14,18,16,20,20,20,19,40,45,7.58,0
221,19,11,55,17,50,18,57,15,48,16,23,22,23,20,22,18,46,47,0.0,0
236,51,12,67,6,37,8,36,9,51,12,17,18,18,17,20,16,38,34,6.73,0
237,43,13,56,14,50,12,39,14,61,17,22,22,23,20,24,24,47,48,7.69,0
251,48,16,61,14,71,18,59,11,46,16,21,20,18,19,23,17,37,44,8.42,0
252,51,14,58,9,59,10,49,16,45,11,24,19,22,17,23,18,38,40,7.31,0
259,45,11,60,13,42,15,49,10,51,14,24,20,22,20,23,18,42,46,7.23,0
264,50,15,57,15,58,16,46,11,45,15,24,21,21,19,23,18,46,34,7.73,0
265,49,18,63,14,68,18,53,13,48,17,24,22,23,22,24,18,48,48,8.35,0
270,55,14,59,15,51,12,53,11,41,10,20,20,20,19,24,21,44,46,7.54,0
287,40,12,61,9,52,16,40,17,55,10,23,21,24,20,23,21,44,45,7.38,0
297,45,16,59,11,49,18,60,16,55,15,24,20,24,20,24,19,44,42,8.19,0
305,38,15,57,14,59,20,55,15,58,17,24,23,22,20,24,19,46,48,8.31,0
318,45,14,61,13,63,15,53,12,53,15,20,19,20,16,21,21,42,48,7.73,0
