AM4_SE,AM4_IA,AM4_TOT,AOA_SE,AOA_IA,AOA_TOT,COA_SE,COA_IA,COA_TOT,CG_SE,CG_IA,CG_TOT,OS_SE,OS_IA,OS_TOT,AOA_TW,AOA_OP,AOAL_TOT,CG_TW,CG_OP,CGL_TOT,PAL_TW,PAL_OP,PAL_TOT,OS_TW,OS_OP,OSL_TOT,OPST_TW,OPST_OP,OPST_TOT,GPA_SEM_4
48,11,,49,12,,51,13,,45,9,,51,13,,17,16,,19,15,,19,18,,22,19,,19,19,,6.96
63,17,,61,16,,52,10,,54,11,,60,15,,23,22,,23,18,,23,18,,24,21,,22,22,,8.81
50,13,,45,10,,47,11,,50,13,,45,10,,16,14,,20,18,,19,16,,21,17,,19,19,,6.89
71,20,,64,15,,58,11,,58,11,,56,10,,20,19,,22,18,,22,18,,22,17,,20,20,,8.44
69,19,,61,14,,67,18,,70,20,,58,12,,23,20,,23,24,,23,23,,21,18,,24,24,,9.52
75,20,,74,19,,75,20,,75,20,,71,17,,23,23,,23,24,,23,24,,24,23,,24,24,,10
68,16,,74,20,,74,20,,73,19,,68,16,,23,24,,23,23,,23,24,,24,22,,23,23,,10
60,12,,72,20,,71,19,,65,15,,71,19,,22,24,,23,21,,23,23,,24,24,,23,23,,9.63
74,19,,75,20,,75,20,,75,20,,72,18,,23,24,,22,24,,23,24,,24,23,,22,22,,10
65,15,,69,18,,71,19,,62,13,,66,16,,23,23,,21,19,,23,23,,24,22,,21,21,,9.85
73,20,,60,11,,69,17,,60,11,,55,8,,22,18,,23,18,,23,22,,22,16,,21,21,,8.93
68,17,,69,18,,69,18,,66,16,,68,17,,22,22,,22,21,,22,22,,22,22,,24,24,,10
48,8,,57,14,,60,16,,56,13,,51,10,,23,20,,23,20,,23,22,,24,18,,22,22,,7.93
60,15,,49,8,,58,14,,66,19,,51,9,,22,16,,22,23,,23,21,,22,17,,23,23,,8.41
41,9,,48,14,,41,9,,39,8,,45,12,,22,20,,21,16,,22,17,,22,19,,20,20,,6.78
55,12,,57,13,,54,11,,49,8,,57,13,,22,19,,21,16,,22,18,,23,20,,20,20,,7.74
64,19,,59,16,,56,14,,58,15,,52,11,,21,21,,23,21,,23,20,,24,19,,21,21,,8.81
52,15,,47,12,,44,10,,46,11,,52,15,,20,18,,21,17,,22,17,,24,21,,19,19,,7.04
64,16,,70,20,,58,12,,57,11,,67,18,,20,23,,23,18,,23,19,,24,23,,23,23,,9.26
65,17,,69,20,,66,18,,59,13,,60,14,,22,24,,23,20,,23,23,,22,20,,21,21,,9.41
68,19,,68,19,,65,17,,63,16,,66,18,,22,23,,23,22,,22,22,,21,22,,20,20,,9.85
67,20,,60,15,,64,18,,52,10,,67,20,,21,20,,22,17,,23,23,,22,24,,20,20,,9.37
61,13,,70,19,,68,18,,68,18,,65,16,,22,23,,23,23,,23,23,,23,22,,24,24,,9.73
61,17,,53,12,,61,17,,56,14,,61,17,,23,19,,23,20,,23,22,,21,21,,22,22,,8.78
72,20,,72,20,,71,19,,71,19,,60,12,,22,24,,22,23,,23,23,,22,19,,22,22,,9.7
47,8,,61,17,,58,15,,52,11,,61,17,,19,20,,20,17,,23,21,,21,21,,19,19,,8.14
76,20,,66,13,,75,19,,76,20,,73,18,,23,20,,23,24,,23,23,,24,23,,23,23,,9.85
58,16,,52,12,,51,11,,51,11,,60,17,,22,19,,23,18,,23,18,,23,22,,20,20,,8.15
57,14,,63,18,,63,18,,62,17,,54,12,,23,23,,23,22,,23,23,,24,20,,22,22,,9.04
63,16,,68,19,,60,14,,68,19,,62,15,,23,23,,23,23,,23,20,,24,21,,24,24,,9.37
55,12,,67,20,,55,12,,61,16,,57,13,,22,24,,23,22,,23,19,,23,20,,21,21,,8.66
58,12,,70,20,,66,17,,66,17,,66,17,,20,23,,20,21,,23,22,,23,22,,21,21,,9.63
43,10,,43,10,,46,12,,42,9,,42,9,,17,15,,19,15,,19,17,,18,15,,18,18,,6.33
66,18,,68,19,,63,16,,65,17,,54,10,,23,23,,23,22,,23,22,,23,18,,23,23,,9.41
48,8,,59,15,,54,12,,59,15,,48,8,,20,19,,20,19,,22,19,,22,16,,19,19,,7.54
71,20,,70,19,,70,19,,68,18,,68,18,,22,23,,22,22,,23,23,,22,22,,21,21,,10
62,15,,68,19,,63,16,,65,17,,62,15,,21,22,,23,22,,22,21,,22,20,,22,22,,9.52
55,16,,51,13,,57,17,,48,11,,52,14,,20,18,,22,18,,23,22,,23,20,,21,21,,7.81
55,11,,56,12,,62,16,,50,8,,65,18,,21,18,,20,15,,23,22,,21,22,,19,19,,8.07
64,18,,52,10,,60,15,,66,19,,67,20,,19,16,,20,22,,21,20,,21,23,,21,21,,9.33
36,10,,38,11,,38,11,,36,10,,41,13,,19,16,,19,16,,21,17,,19,18,,20,20,,6
40,13,,41,14,,35,10,,40,13,,41,14,,19,18,,19,18,,19,16,,19,18,,18,18,,6.3
62,15,,69,20,,59,13,,65,17,,56,11,,23,24,,23,22,,23,20,,23,18,,23,23,,9.07
56,13,,60,16,,54,12,,53,11,,48,8,,20,20,,21,17,,19,17,,18,14,,23,23,,7.59
61,17,,65,20,,56,14,,65,20,,53,12,,22,24,,23,24,,22,20,,23,19,,22,22,,9.07
70,19,,71,20,,70,19,,67,17,,67,17,,22,24,,23,22,,23,23,,23,22,,23,23,,10
70,18,,69,17,,61,12,,73,20,,67,16,,23,22,,23,24,,23,19,,23,22,,23,23,,9.7
51,13,,49,12,,54,15,,54,15,,48,11,,22,19,,20,19,,21,20,,19,16,,21,21,,7.41
66,17,,70,20,,66,17,,64,16,,69,19,,23,24,,22,21,,23,22,,21,22,,22,22,,10
54,9,,63,15,,67,18,,66,17,,52,8,,22,20,,21,21,,22,22,,18,14,,21,21,,8.84
54,12,,62,17,,54,12,,54,12,,53,11,,23,22,,21,18,,23,19,,22,18,,23,23,,7.93
54,12,,56,13,,60,16,,56,13,,60,16,,22,19,,23,20,,23,22,,22,21,,24,24,,8.26
71,17,,71,17,,74,19,,75,20,,72,18,,23,22,,23,24,,23,23,,23,23,,23,23,,10
69,16,,75,20,,74,19,,75,20,,74,19,,23,24,,23,24,,23,23,,23,23,,24,24,,10
61,13,,58,11,,68,18,,64,15,,64,15,,23,18,,23,21,,23,23,,23,21,,23,23,,8.89
49,13,,52,15,,49,13,,50,14,,43,9,,23,21,,19,18,,20,18,,21,16,,22,22,,7.33
66,16,,71,19,,66,16,,72,20,,69,18,,22,23,,22,24,,23,22,,22,22,,24,24,,10
75,19,,76,20,,76,20,,76,20,,73,18,,23,24,,23,24,,23,24,,20,20,,24,24,,10
62,14,,71,20,,68,18,,67,17,,67,17,,23,24,,22,22,,22,22,,21,21,,23,23,,9.91
63,16,,60,14,,56,11,,68,19,,63,16,,20,19,,22,23,,23,18,,22,21,,21,21,,8.99
60,15,,67,20,,61,16,,61,16,,60,15,,23,24,,23,22,,23,22,,23,21,,22,22,,9.37
49,8,,67,20,,63,17,,66,19,,57,13,,22,24,,23,23,,22,22,,22,19,,23,23,,8.96
59,11,,63,14,,63,14,,71,19,,65,15,,23,20,,22,23,,23,20,,23,21,,24,24,,9.33
56,12,,58,13,,53,10,,58,13,,59,14,,22,19,,19,18,,23,18,,20,19,,21,21,,8.1
76,20,,76,20,,76,20,,76,20,,70,16,,23,24,,22,24,,23,24,,23,22,,24,24,,10
38,9,,41,11,,44,13,,44,13,,41,11,,20,17,,22,19,,23,20,,23,18,,21,21,,6.63
49,11,,50,12,,53,14,,55,15,,46,9,,23,19,,22,20,,23,20,,23,18,,21,21,,7.67
70,19,,71,20,,67,17,,71,20,,53,8,,23,24,,23,24,,23,22,,22,16,,24,24,,9.52
75,20,,75,20,,75,20,,75,20,,75,20,,23,24,,23,24,,23,24,,23,24,,24,24,,10
61,15,,68,20,,61,15,,68,20,,64,17,,23,24,,23,24,,23,21,,23,22,,23,23,,9.67
45,8,,50,11,,50,11,,48,10,,50,11,,22,18,,18,15,,22,18,,22,18,,20,20,,7.32
61,16,,64,18,,57,13,,54,11,,60,15,,23,23,,23,18,,23,20,,23,21,,22,22,,8.93
48,12,,47,11,,54,16,,47,11,,53,15,,20,17,,22,18,,21,21,,22,20,,21,21,,7.44
71,19,,72,20,,71,19,,68,17,,68,17,,23,24,,23,22,,23,23,,23,22,,23,23,,10
66,19,,64,18,,63,17,,60,15,,57,13,,23,23,,22,20,,23,22,,23,20,,23,23,,9.56
64,14,,70,18,,70,18,,73,20,,67,16,,23,23,,23,24,,23,23,,23,22,,23,23,,9.81
63,14,,69,18,,66,16,,72,20,,69,18,,23,23,,23,24,,23,22,,23,23,,23,23,,9.81
56,11,,68,19,,59,13,,69,20,,66,18,,23,23,,20,24,,22,19,,23,23,,22,22,,9.25
69,18,,65,15,,60,12,,72,20,,71,19,,23,21,,23,24,,23,19,,23,23,,24,24,,9.8
56,13,,63,18,,50,9,,62,17,,54,12,,22,22,,23,22,,22,17,,23,19,,24,24,,8.22
63,14,,71,19,,72,20,,68,17,,68,17,,21,22,,22,22,,23,24,,23,22,,22,22,,9.81
47,12,,43,9,,53,16,,41,8,,49,13,,17,14,,17,14,,18,19,,20,18,,19,19,,6.63
55,12,,61,16,,64,18,,54,11,,63,17,,19,20,,21,17,,23,23,,23,22,,23,23,,8.78
35,8,,38,10,,37,9,,35,8,,43,13,,22,17,,21,16,,21,16,,23,20,,20,20,,5.74
49,13,,50,14,,53,16,,50,14,,46,11,,21,19,,21,19,,19,20,,22,18,,19,19,,7.41
47,9,,48,10,,45,8,,54,14,,50,11,,22,17,,23,20,,20,15,,23,18,,23,23,,7.07
44,12,,38,8,,50,16,,41,10,,43,11,,22,16,,21,17,,20,20,,23,18,,19,19,,6.74
45,12,,42,10,,42,10,,47,13,,39,8,,22,17,,23,20,,21,17,,23,17,,21,21,,6.81
41,8,,56,18,,50,14,,50,14,,46,11,,22,22,,21,19,,23,20,,23,18,,21,21,,7.3
46,10,,52,14,,43,8,,55,16,,49,12,,22,20,,23,22,,22,16,,23,19,,21,21,,7.44
40,12,,37,10,,34,8,,36,9,,39,11,,18,15,,18,15,,18,14,,22,18,,19,19,,5.89
