AM4_SE,AM4_IA,AM4_TOT,AOA_SE,AOA_IA,AOA_TOT,COA_SE,COA_IA,COA_TOT,CG_SE,CG_IA,CG_TOT,OS_SE,OS_IA,OS_TOT,AOA_TW,AOA_OP,AOAL_TOT,CG_TW,CG_OP,CGL_TOT,PAL_TW,PAL_OP,PAL_TOT,OS_TW,OS_OP,OSL_TOT,OPST_TW,OPST_OP,OPST_TOT,GPA_SEM_4
15,4,,39,8,,52,12,,42,14,,40,19,,17,18,,19,19,,19,17,,22,21,,17,13,,0
36,11,,42,13,,56,12,,52,10,,50,17,,22,19,,20,19,,20,19,,23,22,,18,17,,6.93
68,20,,73,20,,63,17,,63,19,,64,20,,24,24,,24,24,,24,23,,24,24,,23,24,,10
70,16,,74,16,,70,11,,70,16,,58,18,,22,23,,20,22,,22,18,,24,23,,21,21,,9.85
68,19,,41,16,,43,9,,65,13,,56,14,,22,22,,21,21,,23,18,,23,23,,22,20,,8.37
66,20,,68,13,,41,6,,73,16,,47,15,,19,16,,16,19,,18,17,,20,17,,15,18,,8.3
46,15,,48,9,,33,7,,51,11,,44,13,,17,16,,16,21,,19,18,,20,21,,13,14,,6.47
80,19,,70,20,,55,12,,64,17,,61,18,,24,23,,21,22,,23,23,,23,22,,18,23,,9.41
56,11,,44,11,,23,6,,44,8,,54,13,,20,20,,18,17,,19,18,,20,21,,16,17,,0
47,16,,56,11,,32,10,,52,15,,56,15,,20,22,,20,20,,22,22,,21,20,,15,21,,7.22
75,18,,69,18,,53,18,,69,15,,52,16,,21,21,,21,22,,22,23,,23,24,,19,23,,9.26
71,14,,39,14,,25,9,,38,12,,48,10,,22,19,,19,21,,23,19,,21,20,,17,20,,7.19
79,18,,62,17,,62,10,,62,14,,57,15,,19,22,,21,21,,22,20,,21,22,,19,22,,9.11
73,20,,57,16,,47,9,,47,17,,47,17,,20,22,,24,24,,20,18,,24,20,,22,22,,8.19
74,18,,68,15,,53,10,,66,16,,62,14,,22,21,,20,22,,22,20,,22,22,,21,17,,9.33
76,20,,66,18,,67,15,,51,18,,58,20,,23,20,,24,23,,24,22,,23,24,,20,23,,9.41
76,19,,67,16,,61,13,,69,15,,60,17,,23,21,,20,19,,23,19,,22,20,,18,22,,9.52
77,17,,72,17,,63,11,,63,18,,61,15,,24,21,,21,20,,24,20,,22,20,,22,23,,9.56
56,16,,63,13,,47,11,,64,18,,60,15,,21,21,,22,23,,22,20,,23,23,,19,23,,8.74
